,title,abstract,authors,link,ID,publication_date,update_date,subject,is_medRxiv
0,Universal PCR and antibody testing demonstrate little to no transmission of SARS-CoV-2 in a rural community,"Background: The absence of systematic surveillance for SARS-CoV-2 has curtailed accurate appraisal of transmission intensity. Our objective was to perform case detection of an entire rural community to quantify SARS-CoV-2 transmission using PCR and antibody testing. Methods: We conducted a cross-sectional survey of the prevalence and cumulative incidence of SARS-CoV-2 infection in the rural town of Bolinas, California (population 1,620), four weeks following shelter-in-place orders. Residents and county essential workers were tested between April 20th-24th, 2020. Prevalence by PCR and seroprevalence combining data from two forms of antibody testing were performed in parallel (Abbott ARCHITECT IgG to nucleocapsid protein and in-house IgG ELISA to the receptor binding domain). Results: Of 1,891 participants, 1,312 were confirmed Bolinas residents (>80% community ascertainment). Zero participants were PCR positive. Assuming 80% sensitivity, it would have been unlikely to observe these results (p<0.05) if there were >3 active infections in the community. Based on antibody results, estimated prevalence of prior infection was 0.16% (95% CrI: 0.02%, 0.46%). Seroprevalence estimates using only one of the two tests would have been higher, with greater uncertainty. The positive predictive value (PPV) of a positive result on both tests was 99.11% (95% CrI: 95.75%, 99.94%), compared to PPV 44.19%-63.32% (95% CrI range 3.25%-98.64%) if only one test was utilized. Conclusions: Four weeks following shelter-in-place, active and prior SARS-CoV-2 infection in a rural Northern California community was extremely rare. In this low prevalence setting, use of two antibody tests increased the PPV and precision of seroprevalence estimates.","Appa, A.; Takahashi, S.; Rodriguez-Barraquer, I.; Chamie, G.; Sawyer, A.; CLIAHUB Consortium,; Duarte, E.; Hakim, J.; Turcios, K.; Vinden, J.; Janson, O.; Manglik, A.; Peluso, M. J.; Deeks, S. G.; Henrich, T. J.; Torres, L.; Rodgers, M.; Hackett, J.; Chiu, C. Y.; Havlir, D.; Greenhouse, B.","https://www.medrxiv.org/content/10.1101/2020.08.15.20175786v1?rss=1""",https://www.medrxiv.org/content/10.1101/2020.08.15.20175786v1?rss=1,2020-08-17,2020-08-17,,True
1,SARS-CoV-2 Antibody Responses Correlate with Resolution of RNAemia But Are Short-Lived in Patients with Mild Illness,"SARS-CoV-2-specific antibodies, particularly those preventing viral spike receptor binding domain (RBD) interaction with host angiotensin-converting enzyme 2 (ACE2) receptor, could offer protective immunity, and may affect clinical outcomes of COVID-19 patients. We analyzed 625 serial plasma samples from 40 hospitalized COVID-19 patients and 170 SARS-CoV-2-infected outpatients and asymptomatic individuals. Severely ill patients developed significantly higher SARS-CoV-2-specific antibody responses than outpatients and asymptomatic individuals. The development of plasma antibodies was correlated with decreases in viral RNAemia, consistent with potential humoral immune clearance of virus. Using a novel competition ELISA, we detected antibodies blocking RBD-ACE2 interactions in 68% of inpatients and 40% of outpatients tested. Cross-reactive antibodies recognizing SARS-CoV RBD were found almost exclusively in hospitalized patients. Outpatient and asymptomatic individuals' serological responses to SARS-CoV-2 decreased within 2 months, suggesting that humoral protection may be short-lived.","Röltgen, K.; Wirz, O. F.; Stevens, B. A.; Powell, A. E.; Hogan, C. A.; Najeeb, J.; Hunter, M.; Sahoo, M. K.; Huang, C.; Yamamoto, F.; Manalac, J.; Otrelo-Cardoso, A. R.; Pham, T. D.; Rustagi, A.; Rogers, A. J.; Shah, N. H.; Blish, C. A.; Cochran, J. R.; Nadeau, K. C.; Jardetzky, T. S.; Zehnder, J. L.; Wang, T. T.; Kim, P. S.; Gombar, S.; Tibshirani, R.; Pinsky, B. A.; Boyd, S. D.","https://www.medrxiv.org/content/10.1101/2020.08.15.20175794v1?rss=1""",https://www.medrxiv.org/content/10.1101/2020.08.15.20175794v1?rss=1,2020-08-17,2020-08-17,,True
2,IL-6 and IL-10 as predictors of disease severity in COVID 19 patients: Results from Meta-analysis and Regression,"Objectives: SARS-CoV-2, an infectious agent behind the ongoing COVID-19 pandemic, induces high levels of cytokines in patients contributing to the disease patho-physiology. Nonetheless, exact association and contribution of particular cytokines towards COVID-19 pathology remains poorly understood. This study performed a comprehensive meta-analysis to establish association between induced cytokines and COVID-19 disease severity to help in prognosis and clinical management. Methods: Scientific literature was searched to identify 18 clinical studies. Standardized mean difference (SMD) for cytokines IL-2, IL-4, IL-6, IL-10, TNF- and IFN-{gamma} between severe and non-severe COVID-19 patient groups were summarized using random effects model. A classifier was built using logistic regression model with cytokines having significant SMD as covariates. Results: Out of the 6 cytokines, IL-6 and IL-10 showed statistically significant SMD across the studies synthesized. Classifier with mean values of both IL-6 and IL-10 as covariates performed well with accuracy of ~ 92% that was significantly higher than accuracy reported in literature with IL-6 and IL-10 as individual covariates. Conclusions: Simple panel proposed by us with only two cytokine markers can be used as predictors for fast diagnosis of patients with higher risk of COVID-19 disease deterioration and thus can be managed well for a favourable prognosis.","Dhar, S. K.; K, V.; Damodar, S.; Gujar, S.; Das, M.","https://www.medrxiv.org/content/10.1101/2020.08.15.20175844v1?rss=1""",https://www.medrxiv.org/content/10.1101/2020.08.15.20175844v1?rss=1,2020-08-17,2020-08-17,,True
3,Behavioral preventive measures and the use of medicines and herbal products among the public in response to Covid-19 in Bangladesh: A cross-sectional study,"The present study was conducted to assess the behavioral preventive measures and the use of medicines and herbal foods/products among the public in response to Covid-19. A cross-sectional survey was conducted from 27 June to 20 July 2020, and 1222 people participated. Kruskal-Wallis test was used to identify the differences in behavioral preventive practices across different demographic categories. To identify the factors associated with the use of preventive medicines and herbal foods/products, multivariable logistic regression was performed. Most participants adopted the recommended preventive practices such as washing hands more frequently (87.5%), staying home more often (85.5%), avoiding crowds (86%), and wearing masks (91.6%). About half of the smokers reported a decreased rate of smoking during the pandemic. Also, 14.8% and 57.6% of the participants took medicines and herbal foods/products as preventive measures against Covid-19. Arsenicum album and Zinc supplements were the most commonly used preventive medicines. Gender, age, and fear of Covid-19 were significantly associated with the use of both preventive medicines and herbal products. For the management of Covid-19 related symptoms, Paracetamols, Fexofenadine, and Zinc supplements were used most often. Most participants sought information from non-medical sources while using medicines and herbal products. Moreover, potentially inappropriate and unnecessary use of drugs were identified.","Ahmed, I.; Hasan, M.; Akter, R.; Sarkar, B. K.; Rahman, M.; Sarker, M. S.; Samad, M. A.","https://www.medrxiv.org/content/10.1101/2020.08.15.20175513v1?rss=1""",https://www.medrxiv.org/content/10.1101/2020.08.15.20175513v1?rss=1,2020-08-17,2020-08-17,,True
4,ESTIMATING PREVALENCE AND TIME COURSE OF SARS-CoV-2 BASED ON NEW HOSPITAL ADMISSIONS AND PCR TESTS,"Data posted in the COVID 19 tracking website for RT-PCR (PCR) results and hospital admissions are used to estimate the prevalence of the SARS-CoV-2 pandemic in the United States (1). Hospital admissions mitigate positive sampling bias in PCR tests due to their initially limited test numbers and application as a diagnostic, instead of a surveying tool. As of July 31, the United States' cumulative recovered population is estimated at 47% or 155 million. The remaining susceptible population is 53%, or 47% excepting the 6% infectious population. The estimated mortality rate of the cumulative recovered population is 0.09% death per case. New York and Massachusetts show SARS-CoV-2 prevalence of 87% and 55%, respectively. Likewise, each state exhibits relatively low current positive PCR results at 1 % and 1.7%. Also, these states show about twice the mortality rate of the nation. Florida, California, and Texas showed recovered population percent around 40%, higher current PCR positive test results ranging from 7% to 13%. A higher recovered population mitigates the current positive value attainable by limiting the infectivity rate Re. This approach provides an alternate source of information on the pandemic's full time course since the serological testing only views a narrow time slice of its history due to the transient nature of the antibody response and its graduated expression dependency on the severity of the disease. The deficiency of serological testing to estimate the recovered population is made even more acute due to the large proportion of asymptomatic and sub-clinical cases in the COVID-19 pandemic","Gonzalez, J. E.","https://www.medrxiv.org/content/10.1101/2020.08.15.20175653v1?rss=1""",https://www.medrxiv.org/content/10.1101/2020.08.15.20175653v1?rss=1,2020-08-17,2020-08-17,,True
5,SARS-Coronavirus-2 nucleocapsid protein measured in blood using a Simoa ultra-sensitive immunoassay differentiates COVID-19 infection with high clinical sensitivity.,"The COVID-19 pandemic continues to have an unprecedented impact on societies and economies worldwide. Despite rapid advances in diagnostic test development and scale-up, there remains an ongoing need for SARS-CoV-2 tests which are highly sensitive, specific, minimally invasive, cost-effective and scalable for broad testing and surveillance. Here we report development of a highly sensitive single molecule array (Simoa) immunoassay on the automated HD-X platform for the detection of SARS-CoV-2 Nucleocapsid protein (N-protein) in venous and capillary blood (fingerstick). In pre-pandemic and clinical sample sets, the assay has 100% specificity and 97.4% sensitivity for serum / plasma samples. The limit of detection (LoD) estimated by titration of inactivated SARS-CoV-2 virus is 0.2 pg/ml, corresponding to 0.05 Median Tissue Culture Infectious Dose (TCID50) per ml, > 2000 times more sensitive than current EUA approved antigen tests. No cross-reactivity to other common respiratory viruses, including hCoV229E, hCoVOC43, hCoVNL63, Influenza A or Influenza B, was observed. We detected elevated N-protein concentrations in symptomatic, asymptomatic, and pre-symptomatic PCR+ individuals using capillary blood from a finger-stick collection device. The Simoa SARS-CoV-2 N-protein assay has the potential to detect COVID-19 infection via antigen in blood with similar or better performance characteristics of molecular tests, while also enabling at home and point of care sample collection.","Shan, D.; Johnson, J. M.; Fernandes, S. C.; Mendes, M.; Suib, H.; Holdridge, M.; Burke, E. M.; Beauregard, K. G.; Zhang, Y.; Cleary, M.; Xu, S.; Yao, X.; Patel, P. P.; Plavina, T.; Wilson, D. H.; Chang, L.; Kaiser, K. M.; Natterman, J.; Schmidt, S. V.; Latz, E.; Hrusovsky, K.; Mattoon, D.; Ball, A. J.","https://www.medrxiv.org/content/10.1101/2020.08.14.20175356v1?rss=1""",https://www.medrxiv.org/content/10.1101/2020.08.14.20175356v1?rss=1,2020-08-17,2020-08-17,,True
6,The differential immune responses to COVID-19 in peripheral and lung revealed by single-cell RNA sequencing,"Understanding the mechanism that leads to immune dysfunction induced by SARS-CoV2 virus is crucial to develop treatment for severe COVID-19. Here, using single cell RNA-seq, we characterized the peripheral blood mononuclear cells (PBMC) from uninfected controls and COVID-19 patients, and cells in paired broncho-alveolar lavage fluid (BALF). We found a close association of decreased dendritic cells (DC) and increased monocytes resembling myeloid-derived suppressor cells (MDSC) which correlated with lymphopenia and inflammation in the blood of severe COVID-19 patients. Those MDSC-like monocytes were immune-paralyzed. In contrast, monocyte-macrophages in BALFs of COVID-19 patients produced massive amounts of cytokines and chemokines, but secreted little interferons. The frequencies of peripheral T cells and NK cells were significantly decreased in severe COVID-19 patients, especially for innate-like T and various CD8+ T cell subsets, compared to health controls. In contrast, the proportions of various activated CD4+ T cell subsets, including Th1, Th2 and Th17-like cells were increased and more clonally expanded in severe COVID-19 patients. Patients' peripheral T cells showed no sign of exhaustion or augmented cell death, whereas T cells in BALFs produced higher levels of IFNG, TNF, CCL4 and CCL5 etc. Paired TCR tracking indicated abundant recruitment of peripheral T cells to the patients' lung. Together, this study comprehensively depicts how the immune cell landscape is perturbed in severe COVID-19.","Xu, G.; Qi, F.; Li, H.; Yang, Q.; Wang, H.; Wang, X.; Liu, X.; Zhao, J.; Liao, X.; Liu, Y.; Amit, I.; Liu, L.; Zhang, S.; Zhang, Z.","https://www.medrxiv.org/content/10.1101/2020.08.15.20175638v1?rss=1""",https://www.medrxiv.org/content/10.1101/2020.08.15.20175638v1?rss=1,2020-08-17,2020-08-17,,True
7,A pilot study to see any Change of the Nasal and Oropharyngeal Microbiota with Prolonged Use of Medical Masks during the COVID-19 Outbreak,"Background: The outbreak of coronavirus disease 2019 (COVID-19) has played havoc on the healthcare system and society. Many international guidelines have put forward various measures to control the spread and, using various quality masks seems to be the most important amongst them. This was a cross-sectional pilot study to see any alterations in the bacterial flora of the nasal and the oropharyngeal (OP) microbiota with the use of medical masks over prolonged periods during this COVID-19 outbreak. Methods: Nasal and oropharyngeal swabs were collected using proper international guidelines from 30 healthy healthcare workers matching pre-set inclusion criteria, who gave written informed consent. The swabs were used for gram stain as well as culture and sensitivity analysis using standard methods. Results: In general, we found that the oropharyngeal microflora harboured a more diverse population of bacteria (n=13) than the nasal microflora (n=5). The predominant bacterial flora was found to Staphylococcus epidermidis in the nasal cavity and Streptococcus viridans in the oropharyngeal cavity. There was no growth in 8 (26.68%) samples of oropharynx and 3 (10%) of nasal samples, with one patient having no growth in both the samples. The commonest resistant antibiotic from both the cavity cultures was benzylpenicillin (nasal flora 80% and OP flora 47.37%). Conclusion: This small pilot study has shown a reassuring aspect of no change in the typical bacterial microflora species of the nasal and OP cavity with prolonged use of medical masks. This is the first study to show this convincing evidence during the COVID-19 outbreak and also in healthy healthcare workers who have to wear masks over long durations.","Roy, S.; Majumder, P.; Bhattacharjee, K.","https://www.medrxiv.org/content/10.1101/2020.08.15.20175067v1?rss=1""",https://www.medrxiv.org/content/10.1101/2020.08.15.20175067v1?rss=1,2020-08-17,2020-08-17,,True
8,Evaluation of commercially available immuno-magnetic agglutination and enzyme-linked immunosorbent assays for rapid point-of-care diagnostics of COVID-19,"Introduction: Coronavirus Disease 2019 (COVID-19) is caused by severe acute respiratory coronavirus-2 (SARS-CoV-2). Fast, accurate and simple blood-based assays for quantification of anti-SARS-CoV-2 antibodies are urgently needed to identify infected individuals and keep track of the spread of disease. Methods: The study included 35 plasma samples from 22 individuals with confirmed COVID-19 by real time reverse transcriptase polymerase chain reaction and 40 non COVID-19 plasma samples. Anti-SARS-CoV-2 IgM/IgA or IgG antibodies were detected by a microfluidic quantitative immunomagnetic assay (IMA)(ViroTrack Sero COVID IgM+IgA/IgG Ab, Blusense Diagnostics, Denmark) and by enzyme-linked immunosorbent assay ((ELISA) (EuroImmun Medizinische Labordiagnostika, Germany). Results: Of the 35 plasma samples from the COVID-19 patients, 29 (82.9%) were positive for IgA/IgM or IgG by IMA and 29 samples (82.9%) were positive by ELISA. Sensitivity for only one sample per patient was 68% for IgA+IgM and 73% IgG by IMA and 73% by ELISA. For samples collected 14 days after symptom onset, the sensitivity of both IMA and ELISA was around 90%. Specificity of the IMA reached 100% compared to 95% for ELISA IgA and 97.5% for ELISA IgG. Conclusion: IMA for COVID-19 is a rapid simple-to-use point of care test with sensitivity and specificity similar to a commercial ELISA.","Moeller, M. E.; Fock, J.; Pah, P.; Veras, A. D. L. C.; Bade, M.; Donolato, M.; Israelsen, S. B.; Eugen-Olsen, J.; Benfield, T.; Engsig, F. N.","https://www.medrxiv.org/content/10.1101/2020.08.15.20172080v1?rss=1""",https://www.medrxiv.org/content/10.1101/2020.08.15.20172080v1?rss=1,2020-08-17,2020-08-17,,True
9,The influence of climate factors on COVID-19 transmission in Malaysia: An autoregressive integrated moving average (ARIMA) model,"Background A unique concern pertaining to the spread of COVID-19 across countries is the asymmetry of risk and the irrational fear of a new pandemic and its possible serious consequences. This study aimed to perform a time series analysis on the association between climate factors and daily cases of COVID-19 in Malaysia up to 15 July 2020. The second objective was to predict daily new cases using a forecasting technique. To address within-country variations, the analysis was extended to the state level with Sarawak state as an example. Methodology/Principal Findings Datasets on the daily confirmed cases and climate variables in Malaysia and Sarawak state were obtained from publicly accessible official websites. A descriptive analysis was performed to characterize all the important variables over the study period. An autoregressive integrated moving average (ARIMA) model was introduced using daily cases as the dependent variable and climate parameters as the explanatory variables. For Malaysia, the findings suggest that, ceteris paribus, the number of COVID-19 cases decreased with increasing average temperature (p=0.003) or wind speed (p=0.029). However, none of the climate parameters showed a significant relationship with the number of COVID-19 cases in Sarawak state. Forecasts from the ARIMA models showed that new daily COVID-19 cases had already reached the outbreak level and a decreasing trend in both settings. Holding other parameters constant, a small number of new cases (approximately a single digit) is a probable second wave in Sarawak state, Conclusions/Significance The findings suggest that climate parameters and forecasts are helpful for reducing the uncertainty in the severity of future COVID-19 transmission. A highlight is that forecasts will be a useful tool for making decisions and taking the appropriate interventions to contain the spread of the virus in the community.","Naing, C.; Ni, H.; Aung, H. H.; Wan Ling, E. C.; Mak, J. W.","https://www.medrxiv.org/content/10.1101/2020.08.14.20175372v1?rss=1""",https://www.medrxiv.org/content/10.1101/2020.08.14.20175372v1?rss=1,2020-08-17,2020-08-17,,True
