,title,abstract,authors,link,ID,publication_date,update_date,subject,is_medRxiv
0,Mechanisms of COVID-19 Mental Health Burden,"New Zealand's COVID-19 lockdown in March and April 2020 was among the world's most stringent. Similar to other countries, New Zealand's lockdown occurred amidst pervasive health and economic uncertainties. However, New Zealanders experienced comparatively less psychological distress. To test theories of pandemic distress mitigation, we use national longitudinal responses with pre-COVID-19 baselines and systematically quantify psychological distress trajectories within the same individuals during the lockdown (pre-COVID-19 = 2018/2019; stringent-lockdown = March/April 2020; N = 940). Most distress indicators were minimally elevated. However, there was a three-fold increase in feelings of worthlessness. Neither satisfaction with the government, nor business-satisfaction, nor a sense of neighbourhood community were effective distress defences. Perceived social-belonging and health-satisfaction mitigated feelings of worthlessness. A silver lining was a relief from feelings of effort, which social-belonging fostered. That social-belonging and health satisfaction could quell serious distress among those low in government confidence, low in business satisfaction, and low neighbourhood community proves that distress mitigation is possible without shifting a population's general political, economic, and civic attitudes. Protection of income and containment of infectious disease threat reduces mental health burdens. Though feelings of worthlessness surge during lockdown, such feelings attenuate from interpersonal belonging with people one already knows.",Joseph Bulbulia et al.,https://share.osf.io/preprint/46163-B20-33A,https://share.osf.io/preprint/46163-B20-33A,2020-06-23,2020-10-16T16:11:56+00:00,PsyArXiv|Social and Behavioral Sciences; PsyArXiv|Social and Behavioral Sciences|Health Psychology; PsyArXiv|Social and Behavioral Sciences|Quantitative Methods; PsyArXiv|Social and Behavioral Sciences|Quantitative Methods|Statistical Methods; PsyArXiv|Social and Behavioral Sciences|Social and Personality Psychology; PsyArXiv|Social and Behavioral Sciences|Social and Personality Psychology|Individual Differences; PsyArXiv|Social and Behavioral Sciences|Social and Personality Psychology|Well-being; employment; brms; kessler-6; glmm; bayesian; ordinal; stan; anxiety; longitudinal; covid-19; mental health,False
1,How Does Social Distancing During COVID-19 Affect Negative Moods and Memory?,"In the absence of an effective vaccine or treatment, the current best defence against COVID-19 is social distancing—staying at home as much as possible, keeping distance from others, and avoiding large gatherings. Although social distancing maximizes physical health, we know little about its psychological consequences. In this research (N = 374), we investigated the effect of social distancing duration on negative moods and memory. The relation between social distancing duration and both negative mood and memory errors followed the same U-shaped function: negative moods and memory errors initially decreased steadily as social distancing duration increased, at which point (~ 30 days) they began to steadily increase. Subsequent analyses indicated that memory errors were mediated by lonely mood in particular. Thus, short-term social distancing might benefit psychological well-being and memory performance, but extended social distancing has the expected negative impact on mood and memory.",Weiwei Zhang et al.,https://share.osf.io/preprint/460D9-2B8-CC1,https://share.osf.io/preprint/460D9-2B8-CC1,2020-06-23,2020-10-16T16:04:15+00:00,"PsyArXiv|Social and Behavioral Sciences; PsyArXiv|Social and Behavioral Sciences|Cognitive Psychology; PsyArXiv|Social and Behavioral Sciences|Cognitive Psychology|Memory; PsyArXiv|Social and Behavioral Sciences|Emotion; PsyArXiv|Social and Behavioral Sciences|Psychology, other; negative mood; social distancing; social isolation; false memory; covid-19",False
2,Development of Parent-Adolescent Relationships During the COVID-19 Pandemic: The Role of Stress and Coping,"The coronavirus disease 2019 (COVID-19) pandemic and the extensive measures to prevent spread of the virus have had a major impact on the daily life of families. Such changes in family routines might have an impact on the quality of parenting and the parent-adolescent relationship. However, not all families might be affected by the crisis to a similar extent. In particular, parents and adolescents who have high levels of COVID-19-related stress might experience reduced quality of parenting or parent-child relationships. Families who are able to cope actively might experience limited or even positive changes in relationships during the COVID-19 pandemic. The current longitudinal, multi-informant, and pre-registered study used data of 240 Dutch parents and adolescents (Mage 11.4 years). Using Latent Change Score models, we examined how parent-reported parenting and adolescent-reported relationship quality changed over a six month’s period, from the pre-COVID-19 to the COVID-19 period. Moreover, we examined the moderating role of parents’ and adolescents’ COVID-19-related stress, coping, and the interaction between stress and coping on relationship change. Results showed that on average both the amount of warmth and conflict in parent-adolescent relationships decreased. For positive parenting, there was a significant interaction effect of stress and coping, with active coping leading to a mitigated decline in the quality of parenting only in families who experienced low levels of COVID-19-related stress.",Monika H. Donker et al.,https://share.osf.io/preprint/460F8-705-423,https://share.osf.io/preprint/460F8-705-423,2020-10-13,2020-10-16T16:01:03+00:00,PsyArXiv|Social and Behavioral Sciences; PsyArXiv|Social and Behavioral Sciences|Developmental Psychology; PsyArXiv|Social and Behavioral Sciences|Developmental Psychology|Adolescence; coping; covid-19; parent-adolescent relationships; parenting; stress,False
3,A meta-analytic review of the Self-Administered Interview: Quantity and accuracy of details reported on initial and subsequent retrieval attempts,"The Self-Administered Interview (SAI©) is designed to elicit detailed witness reports in the aftermath of incidents. In two sets of meta-analyses, we compared the number of correct details reported, the number of incorrect details reported, and the accuracy of reports provided by witnesses in initial reports (SAI© vs. other reporting formats) and in subsequent accounts (initial SAI© vs. no initial SAI©). The number of comparisons ranged from 15 to 19, (N = 722 to 977). For initial accounts, the SAI© was associated with more correct details and more incorrect details than other reporting formats; accuracy was slightly lower for the SAI© than for other reporting formats. Subsequent accounts were more detailed and accurate for witnesses who had completed an initial SAI© than for those who had not. The SAI© is an effective tool for capturing detailed initial accounts and for preserving witness memory until a formal interview can be conducted.",Ruth Horry et al.,https://share.osf.io/preprint/461DE-C88-59B,https://share.osf.io/preprint/461DE-C88-59B,2020-10-16,2020-10-16T15:58:02+00:00,PsyArXiv|Social and Behavioral Sciences; PsyArXiv|Social and Behavioral Sciences|Forensic and Legal Psychology; PsyArXiv|Social and Behavioral Sciences|Forensic and Legal Psychology|Legal; meta-analysis; self-administered interview; investigative interviewing; eyewitness testimony; eyewitness memory,False
4,Face-touching behavior as a possible correlate of mask-wearing: A video observational study of public place incidents during the COVID-19 pandemic,"Most countries in the world have recommended or mandated face masks in some or all public places during the COVID-19 pandemic. However, mask-wearing has been thought to increase people’s face-touching frequency and, thus, the risk of self-inoculation. Across two studies, we video observed the face-touching behavior of members of the public in Amsterdam and Rotterdam (the Netherlands) during the first wave of the pandemic. Study 1 (n = 383) yielded evidence in favor of the absence of an association between mask-wearing and face-touching (defined as touches of face or mask), and Study 2 (n = 421) replicated this result. Secondary outcome analysis of the two studies—separately and with pooled datasets—found a robust negative association between mask-wearing and hand contacts with the face and t-zone (i.e., eyes, nose, and mouth). Our results alleviate the concern that mask-wearing has an adverse face-touching effect.",Lasse Suonperä Liebst et al.,https://share.osf.io/preprint/46141-F15-649,https://share.osf.io/preprint/46141-F15-649,2020-08-22,2020-10-16T15:15:12+00:00,PsyArXiv|Social and Behavioral Sciences,False
5,Why did Israelis comply with COVID-19 Mitigation Measures during the initial first wave lockdown?,"This paper investigates why Israeli citizens complied with measures taken to mitigate the spread of the COVID-19 virus in early April. At the time, Israel had relatively stringent mitigation measures that encouraged people to stay at home and keep a safe social distance. The data of 411 adult participants, gathered using survey research, showed that overall, compliance levels at that time were high. It finds that compliance depended on a combination of moral factors, such as people’s moral duty to obey the law and people’s tendency to obey the law generally. In addition, people who had friends over 75 years old were more likely to comply. Furthermore, people were more likely to comply if they were able to do so, and less likely to violate if they did not have the opportunity to do so. The study did not find that fear of punishment (deterrence) was significantly associated with compliance. Overall, these findings are in line with studies conducted the United States, the United Kingdom, and the Netherlands.",Anne Leonre De Bruijn et al.,https://share.osf.io/preprint/460F6-260-A1F,https://share.osf.io/preprint/460F6-260-A1F,2020-08-28,2020-10-16T15:05:42+00:00,"PsyArXiv|Social and Behavioral Sciences; PsyArXiv|Social and Behavioral Sciences|Forensic and Legal Psychology; PsyArXiv|Social and Behavioral Sciences|Forensic and Legal Psychology|Legal; PsyArXiv|Social and Behavioral Sciences|Health Psychology; PsyArXiv|Social and Behavioral Sciences|Health Psychology|Health-related Behavior; PsyArXiv|Social and Behavioral Sciences|Health Psychology|Prevention; PsyArXiv|Social and Behavioral Sciences|Psychology, other; PsyArXiv|Social and Behavioral Sciences|Quantitative Methods; PsyArXiv|Social and Behavioral Sciences|Social and Personality Psychology; PsyArXiv|Social and Behavioral Sciences|Social and Personality Psychology|Moral Behavior; PsyArXiv|Social and Behavioral Sciences|Social and Personality Psychology|Politics; PsyArXiv|Social and Behavioral Sciences|Social and Personality Psychology|Prosocial Behavior; PsyArXiv|Social and Behavioral Sciences|Social and Personality Psychology|Self-regulation; PsyArXiv|Social and Behavioral Sciences|Social and Personality Psychology|Social Influence; impulsivity; safe distance measures; procedural justice; israel; public health; political orientation; deterrence; religion; obligation to obey the law; authority mistrust; compliance; social norms; social distancing; covid-19; technological surveillance; emotions; trust in media; minorities; trust in science",False
6,Decision making and mental health across adulthood during social distancing,"Covid-19-related social-distancing measures have dramatically limited physical social contact between individuals of all ages. We wondered how these new societal conditions would impact the choices of individuals of different ages and if social distancing measures would have a differential emotional impact on older individuals. Early media reports suggested that older adults were more likely to ignore social distancing guidelines. We conducted two online studies to examine temporal discounting of monetary, health, and social rewards, COVID-19 beliefs, social distancing behaviors, and mental health symptoms. We used the initial study (N = 233) to form our hypotheses about social distancing behaviors and we ran the second, pre-registered study (N = 243) to determine if these relationships replicated. We found that although older adults were more likely to prefer smaller, sooner (i.e., temporal discount) social and health-related rewards in decision-making tasks, there were no adult age differences in social distancing behavior. The increased motivation for immediate social contact in older age appears to be balanced by a similarly increased motivation for physical health. Although older adults reported being more likely to contract Covid-19 and experience more severe health consequences, they experienced fewer overall Covid-19-related mental health symptoms compared to younger adults. These data contradict media anecdotes and suggest that older adults are not only similarly compliant with distancing guidelines, but also are faring relatively better emotionally during the pandemic while overall mental health issues are higher than normal in the population.",Kendra Leigh Seaman et al.,https://share.osf.io/preprint/46008-064-E80,https://share.osf.io/preprint/46008-064-E80,2020-07-17,2020-10-16T14:31:13+00:00,PsyArXiv|Social and Behavioral Sciences; PsyArXiv|Social and Behavioral Sciences|Clinical Psychology; PsyArXiv|Social and Behavioral Sciences|Cognitive Psychology; PsyArXiv|Social and Behavioral Sciences|Cognitive Psychology|Judgment and Decision Making; PsyArXiv|Social and Behavioral Sciences|Emotion; social distancing; covid-19; temporal discounting; mental health; aging,False
7,"Loneliness, college belongingness, subjective vitality, and psychological adjustment during coronavirus pandemic: Development of the College Belongingness","Loneliness is a serious risk factor for healthy development and flourishing. Although loneliness has been revealed to play an important role in psychological health and well-being, little is known about moderating and mitigating mechanisms underlying this association, especially, during adverse experiences (e.g., coronavirus pandemic). The current study purposed to explore whether subjective vitality mediated the association of loneliness with psychological well-being (i.e., psychological adjustment), and whether college belongingness moderated the mediating effect of subjective vitality on students’ well-being in the context of loneliness. The sample of this study comprised of 333 undergraduate students (69% female) from a state university in Turkey. They ranged in age between 19 and 45 years (M= 22.13, SD= 4.55). Findings from mediation analysis revealed that loneliness had a significant predictive effect on subjective vitality and psychological adjustment challenges. Subjective vitality also mediated the effect of loneliness on psychological adjustment of college students. Further, college belongingness moderated the mediating effect of subjective vitality on adjustment and had a protective effect on the association between loneliness and subjective vitality in college students. These results provide evidence suggesting that college belongingness and subjective vitality are important mechanisms that may help to develop prevention and intervention strategies to foster psychological health and well-being of students at university settings",Gökmen Arslan,https://share.osf.io/preprint/46135-CCE-D6D,https://share.osf.io/preprint/46135-CCE-D6D,2020-09-22,2020-10-16T10:52:59+00:00,PsyArXiv|Social and Behavioral Sciences; PsyArXiv|Social and Behavioral Sciences|Developmental Psychology; PsyArXiv|Social and Behavioral Sciences|Educational Psychology; PsyArXiv|Social and Behavioral Sciences|Health Psychology; PsyArXiv|Social and Behavioral Sciences|Health Psychology|Mental Health; subjective vitality; loneliness; psychological adjustment; college belongingness,False
8,"Therapeutic alliance, social inclusion and infection control - Towards pandemic-adapted mental health care services in Switzerland","The Covid-19 pandemic has challenged the Swiss mental health care system. Many services were downsized or closed and admission to treatment and care institutions was restricted during lockdown. While these measures were necessary according to the general containment and mitigation strategies of federal and cantonal authorities, this situation has had negative consequences for care and treatment of service users. This paper asks to re-think key aspects of the Swiss mental health care system that have demonstrated to be not adaptable to the pandemic. In particular, the paper suggests diversifying care and treatment settings and strengthening outpatient and outreach services. Finally, some proposals to foster social inclusion during and after the pandemic are outlined.",Dirk Richter et al.,https://share.osf.io/preprint/46021-DE5-951,https://share.osf.io/preprint/46021-DE5-951,2020-06-15,2020-10-16T10:49:17+00:00,PsyArXiv|Psychiatry; mental health services; pandemic; switzerland; covid-19,False
9,Neurocognitive Empowerment for Addiction Treatment (NEAT): Study Protocol for a Randomized Controlled Trial,"Background: Neurocognitive deficits (NCDs) and associated meta-cognition difficulties associated with chronic substance use often delay the learning and change process necessary for addiction recovery and relapse prevention. However, very few cognitive remediation programs have been developed to target NCDs and meta-cognition for substance users. The study described herein aims to investigate the efficacy of a multi-component neurocognitive rehabilitation and awareness program termed ‘Neurocognitive Empowerment for Addiction Treatment’(NEAT). NEAT is a fully manualized, cartoon-based intervention involving psychoeducation, cognitive practice, and compensatory strategies relevant across 10 major cognitive domains, including aspects of attention, memory, executive functions, and decision-making. Method/design: In a single-blind randomized controlled trial (RCT), 80 female opioid and/or methamphetamine users will be recruited from an addiction recovery program providing an alternative to incarceration for women with substance use related offenses. Eight groups of 9-12 participants will be randomized into NEAT or treatment-as-usual (TAU). NEAT involves 14 90-min sessions, delivered twice weekly. The primary outcome is change in self-reported drug craving from before to after intervention using obsessive compulsive drug use scale. Secondary and exploratory outcomes include additional psychological, neurocognitive and structural and functional neuroimaging measures. Clinical measures will be performed at five time points (pre- and post- intervention, 3-, 6-, and 12-month follow-up); neuroimaging measures will be completed at pre- and post-intervention. Discussion: The present RCT is the first study to examine the efficacy of an adjunctive neurocognitive rehabilitation and awareness program for addiction. Results from this study will provide initial information concerning potential clinical efficacy of the treatment, as well as delineate neural mechanisms potentially targeted by this novel intervention. Trial registration: This trial was registered in clinicaltrials.gov on 22 April 2019 with NCT03922646 as clinicalTrials.gov identifier.",Hamed Ekhtiari et al.,https://share.osf.io/preprint/46027-CF7-5C6,https://share.osf.io/preprint/46027-CF7-5C6,2020-06-18,2020-10-15T22:28:38+00:00,PsyArXiv|Neuroscience; PsyArXiv|Psychiatry; PsyArXiv|Social and Behavioral Sciences; PsyArXiv|Social and Behavioral Sciences|Cognitive Psychology; PsyArXiv|Social and Behavioral Sciences|Health Psychology; PsyArXiv|Social and Behavioral Sciences|Health Psychology|Mental Health; PsyArXiv|Social and Behavioral Sciences|Health Psychology|Treatment; meta-cognition; methamphetamine; neurocognitive deficits; substance use disorder; rehabilitation; opioid; women; diversion program; addiction; awareness,False
