"title","abstract","link","pdf","date","subject","authors","bibtex","id","pdf_name","extraction_date","node"
"Automated interpretation of the coronary angioscopy with deep convolutional neural networks","Background Coronary angioscopy CAS is a useful modality to assess atherosclerotic changes, but interpretation of the images requires expert knowledge. Deep convolutional neural networks DCNN can be used for diagnostic prediction and image synthesis.Methods 107 images from 47 patients, who underwent coronary angioscopy in our hospital between 2014 and 2017, and 864 images, selected from 142 MEDLINE-indexed articles published between 2000 and 2019, were analyzed. First, we developed a prediction model for the angioscopic findings. Next, we made a generative adversarial networks GAN model to simulate the CAS images. Finall,y we tried to control the output images according to the angioscopic findings with conditional GAN architecture.Results For both yellow color YC grade and neointimal coverage NC grade, we could observe strong correlations between the true grades and the predicted values YC grade, average r value  0.80  0.02, p-value 0.001 NC grade, average r value  0.73  0.02, p  0.001. The binary classification model for the red thrombus yielded 0.71  0.03 F1- score and the area under the ROC curve AUC was 0.91  0.02. The standard GAN model could generate realistic CAS images average Inception score  3.57  0.06. GAN-based data augmentation improved the performance of the prediction models. In the conditional GAN model, there were significant correlations between given values and experts diagnosis in YC grade but not in NC grade.Conclusion DCNN is useful in both predictive and generative modeling that can help develop the diagnostic support system for CAS.","/content/10.1101/19001693v3","/content/10.1101/19001693v3.full.pdf",20200108,"Cardiovascular Medicine","Miyoshi","/highwire/citation/71060/bibtext",2,"090120-2","09/01/2020",71060
"Mechanisms of Arrhythmogenicity in Hypertrophic Cardiomyopathy Insight from Noninvasive Electrocardiographic Imaging","Background Mechanisms of arrhythmogenicity in hypertrophic cardiomyopathy HCM are not well understood. We hypothesized that HCM is characterized by the specific electrophysiological substrate as compared to patients with ischemic cardiomyopathy ICM, or healthy individuals.Methods We conducted a prospective case-control study. The study enrolled HCM patients at high risk for ventricular tachyarrhythmia VT n10 age 619 y left ventricular ejection fraction LVEF 609, and three comparison groups healthy individuals n10 age 286 y LVEF70, ICM patients with LV hypertrophy LVH and known VT n10 age 649 y LVEF 3115, and ICM patients with LVH and no known VT n10 age 70  7y LVEF 4616. All participants underwent 12-lead ECG, cardiac CT or MRI, and 128-electrode body surface mapping BioSemi ActiveTwo, Netherlands. Non-invasive voltage and activation maps were reconstructed using the open-source SCIRun University of Utah inverse problem-solving environment.Results In the epicardial basal anterior segment, HCM patients had the greatest ventricular activation dispersion 16.45.5 vs. 13.12.7 ICM with VT vs. 13.84.3 ICM no VT vs. 8.12.4 ms Healthy P0.0007, the largest unipolar voltage 1094211 vs. 934189 ICM with VT vs. 898358 ICM no VT vs. 84290 V Healthy P0.023, and the greatest voltage dispersion medianinterquartile range 215161-281 vs. 189143-208 ICM with VT vs. 158109-236 ICM no VT vs. 110106-168V Healthy P0.041. Differences were also observed in other endo-and epicardial basal and apical segments. Conclusion HCM is characterized by a greater activation dispersion in basal segments, a larger voltage, and a larger voltage dispersion through LV.","/content/10.1101/19002782v2","/content/10.1101/19002782v2.full.pdf",20200228,"Cardiovascular Medicine","Perez-Alday","/highwire/citation/72801/bibtext",12,"010320-12","01/03/2020",72801
"Violin plot data A concerto of crucial information on valve thrombogenicity classified using laboratory measured valve motion","ObjectivesWe hypothesize that prosthetic valve thrombogenic potential may be inferred by valve regional flow velocity. This metric was used to compare two clinical valves and two experimental prototypes. Methods Four our clinical and experimental prototype valve models were tested in aortic and mitral sites under pulsatile circulation in a pulse duplicator. An optical approach measuring projected dynamic valve area to gauge valve motion was implemented. Pulsatile pressures and flow rates were measured by conventional techniques and a quasi-steady flow tester was used to measure valve leakage. Regurgitant flow velocity was derived using time-dependent volumetric flow rate / projected dynamic valve area. Since flow velocity and fluid shear force are related through flow velocity gradient, thrombogenic potential for valves that achieve near closure during the forward flow deceleration phase were determined as regurgitant flow velocities relative to the control mechanical valve regurgitant flow velocity of -126 m/s. Analysis of the flow velocity data made use of Vioplot R and VISIO software packages to provide split violin plots that represent probability of recurrence of data. Results Thrombogenic potential was made dimensionless and ranged between -0.45 and 1.0. Negative thrombogenic potentials arise when transient rebound of valve occluder is accompanied by water-hammer phenomena. Positive thrombogenic potentials occur during decelerating forward flow. Bioprostheses had lowest thrombogenic potential transient of 0.15. A mock-transcatheter aortic valve replacement incorporating by design a trivial paravalvular leak 1.35 ml/s demonstrated a high transient thrombogenic potential of 0.95. Conclusions Our data reveals distinct thrombogenic potential profile differences between valve models. If our study methods are verifiable, the design of future valves may utilize currently available experimental tools to produce advanced devices with significantly reduced thrombogenic potential.","/content/10.1101/19009407v7","/content/10.1101/19009407v7.full.pdf",20200225,"Cardiovascular Medicine","SCOTTEN","/highwire/citation/72630/bibtext",56,"270220-56","27/02/2020",72630
"Stereotactic arrhythmia radioablation for refractory scar-related ventricular tachycardia","BackgroundStereotactic radiosurgery is a form of radiotherapy that is performed in a single session and focuses high-dose ionizing radiation beams from a collimated radiation source to a small, localized area of the body. Recentl,y stereotactic radiosurgery has been applied to arrhythmias stereotactic arrhythmia radioablation - STAR, with promising results reported in patients with refractor,y scar-related ventricular tachycardia VT, a cohort with known high morbidity and mortality.ObjectiveHerein, we describe our experience with the use of CyberKnife, a frameless image-guided linear accelerator stereotactic radiosurgery system, in conjunction with CardioPlan, a cardiac specific radiotherapy planning software, to treat patients with scar-related VT, detailing its early and mid- to long-term results.MethodsThis is a pilot, prospective study of patients undergoing STAR for refractory VT. The anatomical target for radioablation was defined based on the clinical VT morpholog,y electroanatomical mapping, and study-specific pre-procedural imaging with cardiac computed tomography. The target volume delineated with the aid of CardioPlan was treated with a prescription radiation dose of 25 Gy delivered in a single fraction by CyberKnife in an outpatient setting. Ventricular arrhythmias and radiation-related adverse events were monitored at follow-up to determine STAR efficacy and safety.ResultFive patients 100  male, 63  12 years old, 80  ischemic cardiomyopath,y left ventricular ejection fraction 34  15  with refractory VT underwent STAR between January and June 2018. Radioablation was delivered in 82  11 minutes without acute complications. During a mean follow-up of 12  2 months, all patients experienced clinically significant mid- to late-term ventricular arrhythmia recurrence two patients died of complications associated with their advanced heart failure. There were no clinical or imaging evidence of radiation necrosis or other radiation-induced complications in the organs at risk surrounding the scar targeted by radioablation.ConclusionDespite good initial results, STAR did not result in effective ventricular arrhythmia control in the long term in a selected, high-risk population of patients with scar-related VT. The safety profile was confirmed to be favorable, with no radiation-related complications observed during follow-up. Further studies are needed to explain these disappointing results.","/content/10.1101/19012880v2","/content/10.1101/19012880v2.full.pdf",20200225,"Cardiovascular Medicine","Gianni","/highwire/citation/72533/bibtext",4,"270220-4","27/02/2020",72533
"A Preoperative Estimate of Central Venous Pressure Is Associated with Early Fontan Failure","Objective Early Fontan Failure EFF is a serious complication following total cavopulmonary connection TCPC, characterised by high central venous pressure CVP, low cardiac output and resistance to medical therapy. This study aimed to estimate post-operative CVP in TCPC patients CVPTCPC using data routinely collected during pre-operative assessment. We sought to determine if this metric correlated with measured post-operative CVP and if it was associated with EFF.Methods In this retrospective stud,y CVPTCPC was estimated in 131 patients undergoing pre-TCPC assessment by cardiac magnetic resonance imaging and CVP measurement under general anaesthesia. Post-operative CVP during the first 24hours in ICU was collected from electronic patient records in a subset of patients. EFF was defined as death, transplantation, TCPC takedown or emergency fenestration within the first 30days.ResultsEstimated CVPTCPC correlated significantly with CVPICU r0.26, p0.03, particularly in patients without a fenestration r0.45, p0.01. CVPTCPC was significantly associated with EFF Odds Ratio OR 1.12 1.02-1.24, p0.02. A threshold of CVPTCPC  33mmHg was found to have the highest specificity 90 and sensitivity 67 for identifying EFF area under receiver operating curve, AUC  0.79, OR 18.8 3.1-114, p0.001. This association was stronger in patients with single SVCs.ConclusionsEstimated CVPTCPC is an easily calculated metric combining pre-operative pressure and flow data. Higher CVPTCPC is associated with an increased risk of EFF and is correlated with directly measured post-TCPC pressure. Identification of patients at risk of EFF has the potential to guide risk mitigation strategies.","/content/10.1101/2019.12.28.19016048v1","/content/10.1101/2019.12.28.19016048v1.full.pdf",20200102,"Cardiovascular Medicine","Quail","/highwire/citation/70954/bibtext",13,"030120-13","03/01/2020",70954
"Cardiac Microstructural Abnormalities Identify Women at Risk of Incident Heart Failure","Background Incidence of congestive heart failure is difficult to predict by standard methods. We have developed a method called the signal intensity coefficient that uses echocardiographic texture analysis to quantify microstructural changes which may occur in at-risk patients prior to development of a clinical heart failure syndrome.Methods Participants from the Framingham Offspring Cohort study who attended the 8th visit and received screening echocardiography were included. Participants were followed for a mean of 7.4 years for incident congestive heart failure. Cox proportional hazards modeling was used to assess the hazard ratio of signal intensity coefficient in the top quartile of values versus other quartiles in the total and sex-stratified population.Results 2511 participants with interpretable echocardiography and no history of congestive heart failure, stroke, or myocardial infarction were included in this study. The top quartile signal intensity coefficient had a hazard ratio of 1.83 p0.0048 for incident heart failure. When additional clinical risk factors were added to the model, this became non-significant. Within women, an elevated hazard ratio was significant in multiple models including age and hypertensive medication use. Models were not significant in men.Conclusions Elevated signal intensity coefficient is associated with an increased risk of incident congestive heart failure. This trend remains significant in women after inclusion of age and hypertensive medication use. The signal intensity coefficient may be able to identify patients at risk of developing congestive heart failure using echocardiographic texture analysis.","/content/10.1101/2020.01.03.20016477v1","/content/10.1101/2020.01.03.20016477v1.full.pdf",20200110,"Cardiovascular Medicine","Kwan","/highwire/citation/71080/bibtext",24,"110120-24","11/01/2020",71080
"The modified arterial reservoir an update with consideration of asymptotic pressure P and zero-flow pressure Pzf","This article describes the modified arterial reservoir in detail. The modified arterial reservoir makes explicit the wave nature of both reservoir Pres and excess pressure Pxs.  The mathematical derivation and methods for estimating Pres in the absence of flow velocity data are described. There is also discussion of zero-flow pressure Pzf, the pressure at which flow through the circulation ceases its relationship to asymptotic pressure P estimated by the reservoir model and the physiological interpretation of Pzf . A systematic review and meta-analysis provides evidence that Pzf differs from mean circulatory filling pressure.","/content/10.1101/2020.01.22.20018440v2","/content/10.1101/2020.01.22.20018440v2.full.pdf",20200311,"Cardiovascular Medicine","Hughes","/highwire/citation/73399/bibtext",4,"120320-4","12/03/2020",73399
"Feasibility of estimation of aortic wave intensity using non-invasive pressure recordings in the absence of flow velocity in man.","Background Wave intensity analysis provides valuable information on ventriculo-arterial function, hemodynamics and energy transfer in the arterial circulation. Widespread use of wave intensity analysis is limited by the need for concurrent measurement of pressure and flow waveforms. We describe a method that can estimate wave intensity patterns using only non-invasive pressure waveforms, and its reproducibility.Methods Radial artery pressure and left ventricular outflow tract LVOT flow velocity waveforms were recorded in 12 participants in the Southall and Brent Revisited SABRE study. Pressure waveforms were analysed using custom-written software to derive the excess pressure Pxs which was compared with the LVOT flow velocity waveform, and used to calculate wave intensity. In a separate stud,y repeat measures of wave intensity and other wave and reservoir parameters were performed on 34 individuals who attended 2 clinic visits at an interval of approximately 1 month to assess reproducibility and reliability of the method.Results Pxs waveforms were similar in shape to aortic flow velocity waveforms and the time of peak Pxs and maximum aortic velocity agreed closely mean difference  0.00 limits of agreement -0.02, 0.02s. Wave intensity patterns when scaled to peak LVOT velocity gave credible estimates of wave intensity similar to values reported previously in the literature. The method showed fair to good reproducibility for most parameters.Conclusions The Pxs is a surrogate of LVOT flow velocity allowing estimation of aortic wave intensity with acceptable reproducibility. This enables widespread application of wave intensity analysis to large studies.","/content/10.1101/2020.01.22.20018457v1","/content/10.1101/2020.01.22.20018457v1.full.pdf",20200124,"Cardiovascular Medicine","Hughes","/highwire/citation/71376/bibtext",5,"250120-5","25/01/2020",71376
"A Pilot Study of an Esophageal Cooling Device During Radiofrequency Ablation for Atrial Fibrillation","Background Esophageal thermal injury is a risk of ablation of the posterior left atrium despite various devices utilized to date.  Objective Evaluate the potential of a commercially-available esophageal cooling device to provide esophageal protection during left atrial catheter ablation. Methods In this pilot stud,y we randomized 6 patients undergoing catheter ablation for atrial fibrillation.  Three patients received standard of care for our site use of a single-sensor temperature probe, with adjunct iced-water instillation for any temperature increases 1C.  Three patients received standard ablation after placement of the esophageal cooling device using a circulating water temperature of 4C.  All patients underwent transesophageal echocardiogram TEE and esophagogastroduodenoscopy EGD on the day prior to ablation followed by EGD on the day after. Results In the 3 control patients, one had no evidence of esophageal mucosal damage, one had diffuse sloughing of the esophageal mucosa and multiple ulcerations, and one had a superficial ulcer with large clot.  Both patients with lesions were classified as Zargar 2a.  In the 3 patients treated with the cooling device, one had no evidence of esophageal mucosal damage, one had esophageal erythema Zargar 1, and one had a solitary Zargar 2a lesion.  At 3-month follow-up, 1 patient in each group had recurrence of atrial fibrillation.Conclusions The extent of esophageal injury was less severe with a commercially available esophageal cooling device than with reactive instillation of ice-cold water. This pilot study supports further evaluation with a larger clinical trial.","/content/10.1101/2020.01.27.20019026v1","/content/10.1101/2020.01.27.20019026v1.full.pdf",20200128,"Cardiovascular Medicine","Clark","/highwire/citation/71553/bibtext",6,"290120-6","29/01/2020",71553
"Evaluation of Myocardial Perfusion and Immune Cell Response in Cardiac Allograft Dysfunction of Heart-Transplant Patients","Background We investigated the myocardial perfusion differences and changes in immune cell response in heart-transplant patients with nonspecific graft dysfunction NGD compared to cardiac allograft vasculopathy CAV patients and normal heart-transplant patients.Methods and Results We prospectively studied 17 heart-transplant patients 59.8/-14.1 years, 78 male from January to June 2016. Regadenoson stress cardiac MRI was performed in the patients and peripheral blood obtained contemporaneously to isolate peripheral blood mononuclear cells PBMCs. Stress myocardial perfusion showed significantly decreased myocardial perfusion using maximum upslope method in NGD and CAV patients compared to normal heart-transplant patients. Myocardial scar by late gadolinium enhancement also was significantly increased in nonspecific graft dysfunction patients compared to normal. Evaluation of PBMCs by flow cytometry showed a trend towards increased activated HLA-DR T cells in NGD patients compared to normal. Clinical outcomes for cardiac hospitalization, allograft loss/retransplant, death were assessed at 3 years.Conclusions NGD shows decreased stress myocardial perfusion by cardiac MRI and a trend towards increased activated T cells in PBMCs, suggestive of an immune-mediated cause for allograft dysfunction.Key Words cardiac allograft dysfunction stress myocardial perfusion cardiac allograft vasculopathy","/content/10.1101/2020.01.28.20018168v1","/content/10.1101/2020.01.28.20018168v1.full.pdf",20200130,"Cardiovascular Medicine","Kim","/highwire/citation/71633/bibtext",3,"310120-3","31/01/2020",71633
