"title","abstract","authors","link","date","subject","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","extraction_date","expert_decision","ID"
"Impact of COVID-19 on psychiatric assessment in emergency and outpatient settings measured using electronic health records","Importance: As with other traumatic events, pandemics such as coronavirus-19 (COVID-19) may precipitate or exacerbate psychiatric symptoms such as anxiety and depression, while potentially interfering with health systems' capacity to treat such symptoms. Objective: To quantify the impact of increasing COVID-19 infection on extent of psychiatric assessment across 5 Eastern Massachusetts hospitals. Design: In silico cohort using narrative clinical notes generated between 1/2/2020 and 3/25/2020 Setting: Emergency department and outpatient settings from 2 academic medical centers and 3 community hospitals Participants: All individuals age 13 and older presenting to emergency department or outpatient clinics Main Outcome or Measure: Documentation of psychiatric symptoms reflecting depression, anxiety, psychosis, or suicide, and documentation of violence, was drawn from previously-validated term lists. Results: A total of 2,483,159 outpatient and 205,957 emergency department visit notes were analyzed. Instances of notes referencing depression or anxiety decreased 75-81% in outpatient settings with onset of coronavirus in March 2019, and by 44-45% in emergency departments. In adjusted logistic regression, presence of individual psychiatric symptoms in outpatient notes was associated with significant decreases in likelihood of coronavirus testing (for depression, OR=0.636, 95% CI 0.606-0.667). Conversely, presence of violence in an emergency department note was associated with greater likelihood of testing (OR=1.487, 95% CI 1.249-1.761). Conclusions and Relevance: Documentation of psychiatric symptoms in both outpatient and emergency department settings diminished sharply in the context of increasing coronavirus infection in Massachusetts, suggesting that efforts to provide additional resources to manage psychiatric symptoms will be needed. Funding: none.","Castro, V. M.; Perlis, R. H.","https://www.medrxiv.org/content/10.1101/2020.03.30.20048207v1?rss=1""","20200401",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-02","",1
"Prevalence and Factors Associated with Depression and Anxiety of Hospitalized Patients with COVID-19","Objective: The 2019 coronavirus disease (COVID-19) epidemic has raised international concern. Mental health is becoming an issue that cannot be ignored in our fight against it. This study aimed to explore the prevalence and factors linked to anxiety and depression in hospitalized patients with COVID-19. Methods: A total of 144 patients diagnosed with COVID-19 were included in this study. We assessed depression and anxiety symptoms using the Hospital Anxiety and Depression Scale (HADS), and social support using the Perceived Social Support Scale (PSSS) among patients at admission. Multivariate linear regression analyses were performed to identify factors associated with symptoms of anxiety and depression. Results: Of the 144 participants, 34.72% and 28.47% patients with COVID-19 had symptoms of anxiety or depression, respectively. The bivariate correlations showed that less social support was correlated with more anxious (r=-0.196, p<0.05) and depressive (r=-0.360p<0.05) symptoms among patients with COVID-19. The multiple linear regression analysis showed that gender ({beta}=1.446, p=0.034), age ({beta}=0.074, p=0.003), oxygen saturation ({beta} =-2.140, p=0.049), and social support ({beta} =-1.545, p=0.017) were associated with anxiety for COVID-19 patients. Moreover, age ({beta}=0.084, p=0.001), family infection with SARS-CoV-2 ({beta} =1.515, p=0.027) and social support ({beta} =-2.236, p<0.001) were the factors associated with depression. Conclusion: Hospitalized patients with COVID-19 presented features of anxiety and depression. Mental concern and appropriate intervention are essential parts of clinical care for those who are at risk.","Dong, Y.; Su, T.; Jiao, P.; Kong, X.; Zheng, K.; Tang, M.; Kong, F.; Zhou, J.; Diao, L.; Wu, S.","https://www.medrxiv.org/content/10.1101/2020.03.24.20043075v1?rss=1""","20200330",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-02","",2
"Analysis of psychological state and clinical psychological intervention model of patients with COVID-19","Background:Patients with the 2019 coronavirus disease (COVID-19) have different degrees of psychological pain, such as anxiety and depression, which may related to their prognosis. Psychological intervention can be conducted in different ways to improve psychological pain and improve the treatment effect. Objective:The present study aimed to investigate and analyze the psychological status of patients with COVID-19 during the course of illness, and to evaluate the effect and influencing factors of psychological crisis intervention, so as to explore the effective mode of clinical psychological intervention in acute patients under isolation environment. Methods:A total of 143 persons participated in the study, including 26 patients diagnosed with COVID-19 in the isolation ward (COVID-19 group), 87 patients with general pneumonia in the observation ward (General Pneumonia group) and 30 healthy volunteers (Normal group). All the patients in the ward received comprehensive psychological intervention, including telephone psychological counseling (active and passive), self-adjustment of written materials and one-to-one psychological crisis intervention. Hamilton depression scale (HAMD) and Hamilton anxiety scale (HAMA) were used to evaluate the mental health status of all patients on the day of admission and 1 week after treatment. Results:The scores of HAMA and HAMD of all patients (including isolation ward and observation ward) were significantly higher than the healthy volunteers at the time of admission. The total score of HAMA and HAMD in CVOID-19 group were both higher than that General Pneumonia group. After 1 week`s hospitalization with comprehensive psychological intervention, the scores of HAMA and HAMD in CVOID-19 group were significantly decreased. Conclusion:Patients those who diagnosed with COVID-19 in the isolation ward and/or general pneumonia in observation ward have different degrees of anxiety, depression and sleep problems. While receiving antiviral treatment, patients also need psychological intervention. Comprehensive psychological intervention model has been proved to be effective.","Yang, L.; Wu, D.; Hou, Y.; Wang, X.; Dai, N.; Wang, G.; Yang, Q.; Zhao, W.; Lou, Z.; Ji, Y.; Ruan, L.","https://www.medrxiv.org/content/10.1101/2020.03.22.20040899v1?rss=1""","20200324",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-02","",3
"Analysis of Epidemic Situation of New Coronavirus Infection at Home and Abroad Based on Rescaled Range (R/S) Method","1Summary 1.1 Background The outbreak of the new coronavirus infection broke out in Wuhan City, Hubei Province in December 2019, and has spread to 97 countries and regions around the world. Apart from China, there are currently three other severely affected areas, namely Italy, South Korea, and Iran. This poses a huge threat to China's and even global public health security, challenges scientific research work such as disease surveillance and tracking, clinical treatment, and vaccine development, and it also brings huge uncertainty to the global economy. As of March 11, 2020, the epidemic situation in China is nearing its end, but the epidemic situation abroad is in the outbreak period. Italy has even taken measures to close the city nationwide, with a total of 118,020 cases of infection worldwide. 1.2 Method This article selects the data of newly confirmed cases of COVID-19 at home and abroad as the data sample. Among them: the data of newly confirmed cases abroad is represented by Italy, and the span is from February 13 to March 10. The data of newly confirmed cases at home are divided into two parts: Hubei Province and other provinces except Hubei Province, spanning from January 23 to March 3, and with February 12 as the cutting point, it is divided into two periods, the growth period and the recession period. The rescaled range (R / S) analysis method and the dimensionless fractal Hurst exponent are used to measure the correlation of time series to determine whether the time series conforms to the fractal Brownian motion, that is, a biased random process. Contrast analysis of the meaning of H value in different stages and different overall H values in the same stage. 1.3 Results Based on R / S analysis and calculated Hurst value of newly confirmed cases in Hubei and non-Hubei provinces, it was found that the H value of Hubei Province in the first stage was 0.574, which is greater than 0.5, indicating that the future time series has a positive correlation and Fractal characteristics; The H value in the second stage is 1.368, which is greater than 1, which indicates that the future epidemic situation is completely preventable and controllable, and the second stage has a downward trend characteristic, which indicates that there is a high probability that the future time series will decline. The H values of the first and second stages of non-Hubei Province are 0.223 and 0.387, respectively, which are both less than 0.5, indicating that the time series of confirmed cases in the future is likely to return to historical points, and the H value in the second stage is greater than that in the first stage, indicating that the time series of confirmed cases in the second stage is more long-term memory than the time series of confirmed cases in the first stage. The daily absolute number of newly confirmed cases in Italy was converted to the daily growth rate of confirmed cases to eliminate the volatility of the data. The H value was 1.853, which was greater than 1, indicating that the time series of future confirmed cases is similar to the trend of historical changes. The daily rate of change in cases will continue to rise. 1.4 Conclusion According to the different interpretation of the H value obtained by the R / S analysis method, hierarchical isolation measures are adopted accordingly. When the H value is greater than 0.5, it indicates that the development of the epidemic situation in the area has more long-term memory, that is, when the number of confirmed cases in the past increases rapidly, the probability of the time series of confirmed cases in the future will continue the historical trend. Therefore, it is necessary to formulate strict anti-epidemic measures in accordance with the actual conditions of various countries, to detect, isolate, and treat early to reduce the base of infectious agents.","Ji, X.; Tang, Z.; Wang, K.; Li, X.; Li, H.","https://www.medrxiv.org/content/10.1101/2020.03.15.20036756v1?rss=1""","20200320",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-02","",4
"Mental health status among family members of health care workers in Ningbo, China during the Coronavirus Disease 2019 (COVID-19) outbreak: a Cross-sectional Study","Background: So far, the psychological impact of COVID-19 epidemic among family members of Health care workers (HCWs) in China has been neglected. The present cross-sectional study aimed to investigate the mental health status and related factors of families of HCWs in Designated Hospitals in Ningbo, China. Method: Family members of HCWs working in five designated hospitals in Ningbo, China were recruited between February 10th and 20th, 2020. Information on demographic variables, the COVID-19-related events in the lives, knowledge of COVID-19 and the working status of family members (that is, HCWs) was collected using online self-administered questionnaires. The mental health status were assessed using the Chinese version of Patient Health Questionnare-9 (PHQ-9) and Chinese version of Generalized Anxiety Disorder-7 (GAD-7 ). Multivariable logistic regression analyses were conducted to identify the main factors associated with the mental health conditions. Results: A total of 822 participants completed questionnaires correctly. (response rate of 95.80% ). The overall prevalence of GAD and depressive symptoms were 33.73%, and 29.35%, respectively. More times (hours) to focus on the COVID-19 (OR=1.215, 95%CI:1.061-1.391), family members (that is, HCWs) directly contact with confirmed or suspected COVID-19 patients (OR=1.477, 95%CI:1.069-2.040) were risk factors for GAD, while higher participants self-reported safety score for protective equipment of HCWs (OR=0.807, 95%CI:0.700-0.930) was a protective factor. More times (hours) to focus on the COVID-19 (OR=1.215, 95%CI:1.061-1.391), longer average working times per week for family members (that is, HCWs) (OR=1.017, 95%CI:1.005-1.029), being parents and other next of kin of HCWs were risk factors for depressive symptoms (OR=3.526, 95%CI:1.609-7.728 and OR=1.639, 95%CI:1.096-2.451, respectively). In addition, compared with participants who were HCWs, participants who were enterprise workers and were more likely to develop depressive symptoms(OR=1.750, 95%CI:1.104-2.776), while who were government employees or institutions employees were less likely to suffer depressive symptoms (OR=0.529, 95%CI:0.286-0.977). Conclusions: Psychological responses to COVID-19 have been dramatic among family members of HCWs during the rising phase of the outbreak. Our findings provide strong evidence to pay more attention on the mental health status of this vulnerable but often unseen populations during COVID-19 epidemic.","Ying, Y.; Kong, F.; Zhu, B.; Ji, Y.; Lou, Z.; Ruan, L.","https://www.medrxiv.org/content/10.1101/2020.03.13.20033290v1?rss=1""","20200317",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-02","",5
"The Evaluation of Sleep Disturbances for Chinese Frontline Medical Workers Under the Outbreak of COVID-19","Objective To evaluate sleep disturbances of Chinese frontline medical workers (fMW) under the outbreak of coronavirus disease 2019, and make a comparison with non-fMW. Methods The medical workers from multiple hospitals in Hubei Province, China, were volunteered to participate in this cross-sectional study. An online questionnaire, including Pittsburgh Sleep Quality Index (PSQI), Athens Insomnia Scale (AIS) and Visual Analogue Scale (VAS), was used to evaluate sleep disturbances and mental status of fMW. Sleep disturbances were defined as PSQI>7 points or/and AIS>6 points. We compared the scores of PSQI, AIS, anxiety and depression VAS and prevalence of sleep disturbances between fMW and non-fMW. Subgroup analysis for different gender in fMW was conducted. Results A total of 1306 subjects (including 801 fMW and 505 non-fMW) were enrolled. Compared to non-fMW, fMW had significantly higher scores of PSQI (9.3 vs 7.5, P<0.001), AIS (6.9 vs 5.3, P<0.001), anxiety (4.9 vs 4.3, P<0.001) and depression (4.1 vs 3.6, P=0.001), and higher prevalence of sleep disturbances with PSQI > 7 points (67.2% vs 47.7%, P<0.001) and AIS > 6 points (51.7% vs 35.6%, P<0.001). In subgroup analysis, compared to male fMW, female fMW had significantly higher scores of PSQI (9.4 vs 8.6, P=0.022) and higher prevalence of sleep disturbances with PSQI > 7 points (70.3% vs 54.6%, P<0.001). Conclusion fMW had higher prevalence of sleep disturbances and worse sleep quality than non-fMW. Female fMW were more vulnerable to having sleep disturbances than male fMW.","Qi, J.; Xu, J.; Li, B.; Huang, J.; Yang, Y.; Zhang, Z.; Yao, D.; Liu, Q.; Jia, M.; Gong, D.; Ni, X.; Zhang, Q.; Shang, F.; Xiong, N.; Zhu, C.; Wang, T.; Zhang, X.","https://www.medrxiv.org/content/10.1101/2020.03.06.20031278v1?rss=1""","20200308",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-02","",6
"Emotional responses and coping strategies of nurses and nursing college students during COVID-19 outbreak","Background: Affected by a Corona Virus Disease 2019 (COVID-19) outbreak, Since December 2019, there have been more than 76,000 cases of COVID-19 in China, causing more than 3,000 medical staff infections. Due to COVID-19 spreads quickly, is highly contagious, and can be fatal in severe cases, and there are no specific medicines, it poses a huge threat to the life and health of nurses and has a large impact on their emotional responses and coping strategies. Methods: This study conducted an online questionnaire survey from February 1 to 9, 2020 to investigate the current state of emotional responses and coping strategies of nurses and college nursing students in Anhui Province. This study used a modified Brief COPE (Carver, 1997) and a emotional responses scale. Results: The results found that women showed more severe anxiety and fear than men. Participants from cities showed more anxiety and fear than participants from rural, but rural participants showed more sadness than urban participants. The closer COVID-19 is to the participants, the stronger the anxiety and anger. Compared with Nursing college students, nurses have stronger emotional responses and are more willing to use Problem-focused coping. People may have a cycle of ""the more fear, the more problem-focused coping"". And people may ""The more angry, the more emotion-focused coping"", ""the more problem-focused coping, the more anxious, the more angry, the more sadness"". Conclusion: COVID-19 is a pressure source with great influence, both for individuals and for the social public groups. Different individuals and groups may experience different levels of psychological crisis, and those nurses at the core of the incident are affected. Hospitals should focus on providing psychological support to nurses and providing timely psychological assistance and training in coping strategies. Improving nurses' ability to regulate emotions and effective coping strategies, providing a strong guarantee for resolutely winning the battle against epidemic prevention and control.","Huang, L.; xu, F. m.; Liu, H. r.","https://www.medrxiv.org/content/10.1101/2020.03.05.20031898v1?rss=1""","20200308",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-02","",7
"Clinical characteristics of 101 non-surviving hospitalized patients with COVID-19: A single center, retrospective study","Abstract Rationale: COVID-19 have deprived many lives in Wuhan, China and caused global concerns. Few studies focused on clinical characteristics non-survivors hospitalized with COVID-19. Objectives: We aimed to clarify the clinical characteristics of died patients with COVID-19 and tracked the causes of the rapid disease progression and death. Methods: 101 non-surviving patients with confirmed COVID-19 were included in this retrospective study. Clinical data were collected and compared between non-survivors who died within 3 days and after 3 days of admission. Multivariable regression analysis was used to analyze risk factors associated with rapid disease progression and death. Measurements and Main Results: Among included patients, median age was 71 years (IQR, 59-80), 60 (59.41%) were men. 82 (81.19%) had one or more comorbidities including hypertension (59 [58.42%]), diabetes (22 [21.78%]) etc. 100 (99.01%) suffered respiratory failure, 53 (52.48%) developed acute cardiac injury, acute kidney and liver injury occurred in 23 (22.77%) and 18 (17.82%) patients, respectively. Multivariable regression analysis showed that elevated high sensitivity troponin I (OR 2.68, 95%CI 1.31-5.49, P=0.007), neutrophils (OR 1.14, 95%CI 1.01-1.28, P=0.033) and depressed oxygen saturation (OR 0.94, 95%CI 0.89-0.99, P=0.027) on admission were associated with rapid death of patients with COVID-19. Conclusions: Older patients (>70 years) with comorbidities had a steeply increased risk of death with COVID-19. Respiratory failure, acute cardiac and kidney injury played a crucial role in the death of patients. Elevated high sensitivity troponin, neutrophils and depressed oxygen saturation predicted the rapid death of patients.","Shi, Q.; Zhao, K.; Yu, J.; Feng, J.; Zhao, K.; Zhang, X.; Chen, X.; Hu, P.; Hong, Y.; Li, M.; Liu, F.; Chen, C.; Wang, W.","https://www.medrxiv.org/content/10.1101/2020.03.04.20031039v1?rss=1""","20200306",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-02","",8
"Strategies for vaccine design for corona virus using Immunoinformatics techniques","The cutting-edge technology vaccinomics is the combination of two topics immunogenetics and immunogenomics with the knowledge of systems biology and immune profiling for designing vaccine against infectious disease. In our present study, an epitope-based peptide vaccine against nonstructural protein 4 of beta coronavirus, using a combination of B cell and T cell epitope predictions, followed by molecular docking methods are performed. Here, protein sequences of homologous nonstructural protein 4 of beta coronavirus are collected and conserved regions present in them are investigated via phylogenetic study to determine the most immunogenic part of protein. From the identified region of the target protein, the peptide sequence IRNTTNPSAR from the region ranging from 38-47 and the sequence PTDTYTSVYLGKFRG from the positions of 76-90 are considered as the most potential B cell and T cell epitopes respectively. Furthermore, this predicted T cell epitopes PTDTYTSVY and PTDTYTSVYLGKFRG interacted with MHC allelic proteins HLA-A*01:01 and HLA-DRB5*01:01 respectively with the low IC50 values. These epitopes are perfectly fitted into the epitope binding grooves of alpha helix of MHC I molecule and MHC II molecule with binding energy scores -725.0 Kcal/mole and -786.0 Kcal/mole respectively, showing stability in MHC molecules binding. This MHC restricted epitope PTDTYTSVY also showed a good conservancy of 50.16% in world population coverage. This MHC I HLA-A*01:01 allele is present among 58.87% of Chinese population also. Therefore, the epitopes IRNTTNPSAR and PTDTYTSVYLGKFRG may be considered as potential peptides for peptide-based vaccine for coronavirus after further experimental study.","Basu, A.; Sarkar, A.; Maulik, U.","https://www.biorxiv.org/content/10.1101/2020.02.27.967422v1?rss=1""","20200302",NA,"bioRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-02","",9
"Community responses during the early phase of the COVID-19 epidemic in Hong Kong: risk perception, information exposure and preventive measures","Background: Community responses are important for outbreak management during the early phase when non-pharmaceutical interventions are the major preventive options. Therefore, this study aims to examine the psychological and behavioral responses of the community during the early phase of the COVID-19 epidemic in Hong Kong. Method: A cross-sectional online survey was launched within 36 hours after confirmed COVID-19 cases were first reported. Councilors of all 452 district council constituency areas were approached for survey dissemination. Respondent demographics, anxiety level, risk perception, sources to retrieve COVID-19 information, actual adoption and perceived efficacy of precautionary measures were collected. Result: Analysis from 1715 complete responses indicated high perceived susceptibility (89%) and high perceived severity (97%). Most respondents were worried about COVID-19 (97%), and had their daily routines disrupted (slightly/greatly: 98%). The anxiety level, measured by the Hospital Anxiety and Depression Scale, was borderline abnormal (9.01). Nearly all respondents were alert to the disease progression (99.5%). The most trusted information sources were doctors (84%), followed by broadcast (57%) and newspaper (54%), but they were not common information sources (doctor: 5%; broadcast: 34%; newspaper: 40%). Only 16% respondents found official websites reliable. Enhanced personal hygiene practices and travel avoidance to China were frequently adopted (>77%) and considered effective (>90%). The adoption of social-distancing measures was lower (39%-88%), and their drivers for greater adoption include: being female (adjusted odds ratio [aOR]:1.27), living in the New Territories (aOR:1.32-1.55), perceived as having good understanding of COVID-19 (aOR:1.84) and being more anxious (aOR:1.07). Discussion: Risk perception towards COVID-19 in the community was high. Most respondents are alert to the disease progression, and adopt self-protective measures. This study contributes by examining the psycho-behavioral responses of hosts, in addition to the largely studied mechanistic aspects, during the early phase of the current COVID-19 epidemic. The timely psychological and behavioral assessment of the community is useful to inform subsequent interventions and risk communication strategies as the epidemic progresses.","Kwok, K. O.; Li, K. K.; Chan, H. H.; Yi, Y. Y.; Tang, A.; Wei, W. I.; Wong, Y. S.","https://www.medrxiv.org/content/10.1101/2020.02.26.20028217v1?rss=1""","20200227",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-02","",10
