"title","abstract","authors","link","date","subject","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","extraction_date","expert_decision","ID","o1"
"Health Education for Parents During the COVID-19 OutbreakPublic Health Education for Parents During the Outbreak of COVID-19: A Rapid Review","Background: It is well-known that public health education plays a crucial role in the prevention and control of emerging infectious diseases, but how health providers should advise families and parents to obtain health education information is a challenging question. With COVID-19 (Coronavirus disease 2019) spreading around the world, this rapid review aims to answer that question and thus to promote evidence-based decision making in health education policy and practice. Methods: We systematically searched the literature on health education during COVID-19, SARS (severe acute respiratory syndrome) and MERS (middle east respiratory syndrome) epidemics in Medline (via PubMed), Cochrane Library, EMBASE, Web of Science, CBM (China Biology Medicine disc), CNKI (China National Knowledge Infrastructure), and Wanfang Data from their inception until March 31, 2020. The potential bias of the studies was assessed by Joanna Briggs Institute Prevalence Critical Appraisal Tool. Results: Of 1067 papers found, 24 cross-sectional studies with a total of 35,967 participants were included in this review. The general public lacked good knowledge of SARS and MERS at the early stage of epidemics. Some people's knowledge, attitude and practice (KAP) of COVID-19 had been improved, but the health behaviors of some special groups including children and their parents need to be strengthened. Negative emotions including fear and stigmatization occurred during the outbreaks. Reliable health information was needed to improve public awareness and mental health for infectious diseases. Health information from nonprofit, government and academic websites was more accurate than privately owned commercial websites and media websites. Conclusions: For educating and cultivating children, parents should obtain information from the official websites of authorities such as the World Health Organization (WHO) and national Centers for Disease Control, or from other sources endorsed by these authorities, rather than from a general search of the internet or social media.","Li, W.; Liao, J.; Li, Q.; Baskota, M.; Wang, X.; Tang, Y.; Zhou, Q.; Wang, X.; Luo, X.; Ma, Y.; Fukuoka, T.; Ahn, H. S.; Lee, M. S.; Chen, Y.; Luo, Z.; Liu, E.","https://www.medrxiv.org/content/10.1101/2020.04.14.20064741v1?rss=1""","20200419",NA,"medRxiv","Undecided","","","","","","","","","","","","","FALSE","2020-04-23","",417,""
"<U+8B77><U+7406><U+4EBA><U+54E1><U+7167><U+8B77><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+611F><U+67D3><U+75C5><U+60A3><U+5FC3><U+9748><U+8A18><U+4E8B>-<U+67D0><U+4E2D><U+53F0><U+7063><U+91AB><U+9662><U+7684>2<U+4F8B><U+7D93><U+9A57>","<U+672C><U+6587><U+662F><U+70BA><U+7167><U+8B77><U+5169><U+4F4D><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+75BE><U+75C5>Coronavirus disease 2019(COVID-19)<U+611F><U+67D3><U+500B><U+6848><U+5165><U+4F4F><U+8CA0><U+58D3><U+9694><U+96E2><U+75C5><U+623F><U+5F8C>,<U+75C5><U+4EBA><U+6240><U+9762><U+81E8><U+8EAB><U+9AD4><U+3001><U+5FC3><U+7406><U+3001><U+8207><U+793E><U+6703><U+7B49><U+5404><U+65B9><U+9762><U+6539><U+8B8A><U+6240><U+5F15><U+767C><U+7684><U+8B77><U+7406><U+554F><U+984C><U+3002><U+7B46><U+8005><U+85C9><U+7531><U+81E8><U+5E8A><U+89C0><U+5BDF><U+53CA><U+96FB><U+8A71><U+8A2A><U+8AC7><U+8490><U+96C6><U+8CC7><U+6599>,<U+63D0><U+4F9B><U+5408><U+5B9C>,<U+500B><U+5225><U+8B77><U+7406><U+63AA><U+65BD>,<U+5305><U+542B><U+9F13><U+52F5><U+500B><U+6848><U+60C5><U+7DD2><U+6292><U+767C><U+8207><U+8010><U+5FC3><U+50BE><U+807D><U+5FC3><U+4E2D><U+611F><U+53D7>,<U+9069><U+6642><U+63D0><U+4F9B><U+9069><U+7576><U+7684><U+5FC3><U+7406><U+652F><U+6301><U+3002><U+5229><U+7528><U+97F3><U+6A02><U+7D13><U+58D3>,<U+5F15><U+5C0E><U+500B><U+6848><U+4EE5><U+6B63><U+5411><U+614B><U+5EA6><U+9762><U+5C0D><U+6B64><U+6B21><U+75BE><U+75C5>,<U+540C><U+6642><U+5354><U+52A9><U+500B><U+6848><U+5728><U+51FA><U+9662><U+5F8C><U+6062><U+5FA9><U+6B63><U+5E38><U+751F><U+6D3B>,<U+5E0C><U+671B><U+6B64><U+5831><U+544A><U+80FD><U+63D0><U+4F9B><U+8B77><U+7406><U+4EBA><U+54E1><U+5728><U+7167><U+9867><U+985E><U+4F3C><U+500B><U+6848><U+4E4B><U+53C3><U+8003><U+3002> We reported our nursing experience about caring two cases for Coronavirus disease 2019 (COVID-19) infected diseases patients, mainly focused on the mental health care. Patients admitted in the negative pressure isolation ward might having care needs in physical, mental, and social dimensions. According to our clinical observation and telephone interviews with patients, we suggested personalized nursing cares by listening, music relaxation, and emotional expression might be the suitable methods to lead patients to release their acute stress status.","<U+674E><U+5468><U+71D5>; <U+51CC><U+6B63><U+83EF>; <U+5289><U+7FCE><U+73B2>; <U+8449><U+9E97><U+6708>; <U+6D2A><U+5F18><U+660C>","https://www.google.com/search?q=<U+8B77><U+7406><U+4EBA><U+54E1><U+7167><U+8B77><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+611F><U+67D3><U+75C5><U+60A3><U+5FC3><U+9748><U+8A18><U+4E8B>-<U+67D0><U+4E2D><U+53F0><U+7063><U+91AB><U+9662><U+7684>2<U+4F8B><U+7D93><U+9A57>","2020","","WHO","Undecided","","","","","","","","","","","","","FALSE","2020-04-23","",418,""
"Reflections about the impact of the SARS-COV-2/COVID-19 pandemic on mental health.",NA,"Santos","https://doi.org/10.1590/1516-4446-2020-0981","20200422",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-23","",419,""
"Covid-19: Supporting nurses' psychological and mental health.","At the time of writing (11th April 2020) there are 1.72 million Covid-19 infections and 104,889 deaths worldwide. In the UK the first recorded death was on the 5th of March 2020 and in just 37 days 9,875 deaths in hospital have been recorded. The 10th of April saw the highest number of UK daily deaths (980) to date. These UK figures do not include those who died in care homes or in the community. Similar death rates have been experienced in China earlier this year (3,339) and are rising globally","Maben, Bridges","https://doi.org/10.1111/jocn.15307","20200422",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-23","",420,""
"Coronavirus Disease 2019 (COVID-19) and Firearms in the United States: Will an Epidemic of Suicide Follow?",NA,"Mannix, Lee, Fleegler","https://doi.org/10.7326/M20-1678","20200422",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-23","",421,""
"The depressive state of Denmark during the COVID-19 pandemic.",NA,"SÃ¸nderskov, Dinesen, Santini, Ã˜stergaard","https://doi.org/10.1017/neu.2020.15","20200422","COVID-19; depressive disorder; major; well-being","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-23","",422,""
"The Effect of COVID-19 on Youth Mental Health.","The purposes of this study was to assess the youth mental health after the coronavirus disease 19 (COVID-19) occurred in China two weeks later, and to investigate factors of mental health among youth groups. A cross-sectional study was conducted two weeks after the occurrence of COVID-19 in China. A total of 584 youth enrolled in this study and completed the question about cognitive status of COVID-19, the General Health Questionnaire(GHQ-12), the PTSD Checklist-Civilian Version (PCL-C) and the ","Liang, Ren, Cao, Hu, Qin, Li, Mei","https://doi.org/10.1007/s11126-020-09744-3","20200422","COVID-19; Mental health; Negative coping styles; Post-traumatic stress disorder","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-23","",423,""
"Covid-19 and mental health: a transformational opportunity to apply an evidence-based approach to clinical practice and research.",NA,"Smith, Ostinelli, Cipriani","https://doi.org/10.1136/ebmental-2020-300155","20200422","adult psychiatry; depression &amp; mood disorders; schizophrenia &amp; psychotic disorders; suicide &amp; self-harm","PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-23","",424,""
"COVID-19 Pandemic: Health System and Community Response to a Text Message (Text4Hope) Program Supporting Mental Health in Alberta.","In an effort to support the mental health of Albertans during the COVID-19 pandemic, Alberta Health Services launched a supportive text message (Text4Mood) program on March 23 2020. The program was simultaneously approved for funding by the six regional health foundations and program was launched within one week of conception. Residents of Alberta can subscribe to the program by texting &quot;COVID19HOPE&quot; to a sort code number. Each subscriber receives free three months of daily supportive ","Agyapong","https://doi.org/10.1017/dmp.2020.114","20200422",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-23","",425,""
"Systematic rapid &quot;living&quot; review on rehabilitation needs due to covid-19: update to march 31st 2020.","The outbreak of Covid-19 epidemics has challenged the provision of health care worldwide, highlighting the main flaws of some national health systems with respect to their capacity to cope with the needs of frail subjects. People experiencing disability due to Covid-19 express specific rehabilitation needs that deserve a systematic evidence-based approach. To provide the rehabilitation community with updates on the latest scientific literature on rehabilitation needs due to Covid-19. The first r","Ceravolo, De Sire, Andrenelli, Negrini, Negrini","https://doi.org/10.23736/S1973-9087.20.06329-7","20200422",NA,"PubMed","Undecided","","","","","","","","","","","","","FALSE","2020-04-23","",426,""
