"title","abstract","authors","link","date","subject","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","exclusion_reason","extraction_date","expert_decision","ID","o1"
"Surgical Education in the Time of COVID: Understanding the Early Response of Surgical Training Programs to the Novel Coronavirus Pandemic","Objective Describe the early impact of the COVID-19 pandemic on general surgery residency training nationwide  Design A thirty-one question electronic survey was distributed to general surgery program directors  Qualitative data underwent iterative coding analysis  Quantitative data was evaluated with summary statistics and bivariate analyses  Participants 84 residency programs (33 6% response rate) with representation across US geographic regions, program affiliations, and sizes Results Widespread changes were observed in the surgical training environment  100% of programs reduced the number of residents on rounds and 95 2% reduced the size of their in-hospital resident workforce;on average, daytime staffing decreased by nearly half  With telehealth clinics(90 5%) and remote inpatient consults(26 2%), both clinical care and resident didactics(86 9%) were increasingly virtual, with similar impact across all program demographics  Conversely, availability of some wellness initiatives was significantly higher among university programs than independent programs, including childcare(51 2% vs 6 7%), housing(41 9% vs 13 3%), and virtual mental health services(83 7% vs 53 3%)  Conclusions Changes in clinical care delivery dramatically reduced in face-to-face learning opportunities for surgical trainees during the COVID-19 pandemic  While this effect had equal impact across all program types, sizes, and geographies, the same cannot be said for wellness initiatives  Though all programs initiated some strategies to protect resident health, the disparity between university programs and independent programs may be cause for action","White, Erin M.; Shaughnessy, Matthew P.; Esposito, Andrew C.; Slade, Martin D.; Korah, Maria; Yoo, Peter S.","https://doi.org/10.1016/j.jsurg.2020.07.036","","Database: COVIDWHO; Publication details: Journal of Surgical Education;2020.; Publication details: Journal of Surgical Education;2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-27","",3431,""
"The mental health toll of the covid-19 pandemic becomes clear","Anxiety and depression are elevated as people struggle with illness, isolation and uncertainty, finds Adam Vaughan","Vaughan, Adam","https://doi.org/10.1016/S0262-4079(20)31262-8","","Database: COVIDWHO; Publication details: New Scientist;247(3292):8-8, 2020.; Publication details: New Scientist;247(3292):8-8, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-27","",3432,""
"COVID-19 and social restrictions: the potential mental health impact of social distancing and isolation for young Indigenous Australians","","Usher, Kim; Marriott, Rhonda; Smallwood, Reakeeta; Walker, Roz; Shepherd, Carrington; Hopkins, Katrina; Skeffington, Petra; Reid, Corianne; Jackson, Debra","https://doi.org/10.1177/1039856220943018","","Database: COVIDWHO; Publication details: Australasian Psychiatry;2020.; Publication details: Australasian Psychiatry;2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-27","",3433,""
"Impact of COVID-19 on post-graduate orthopaedic training in Delhi-NCR","Purpose of the study The Coronavirus disease 2019 (COVID-19) pandemic has had profound effects on healthcare system including medical training and education in India  The study was aimed to evaluate the impact of COVID-19 on post-graduate teaching and learning amongst candidates pursuing higher qualification in orthopaedics, in the Delhi- National Capital Region in India  Design An online cross-sectional survey of 29 questions was circulated amongst post-graduate students pursuing higher orthopaedics degree to evaluate (i) Impact on PG teaching (ii) Impact on surgical training (iii) Impact on Dissertation (iv) Future implications on PG training programme (v) Mental wellbeing  Results 138 (77 5) PG trainees contributed in the survey, and 65 1% of them stated that no clinical classes are being held presently  The majority (94%) confirmed that COVID-19 has affected their surgical and clinical training  A large number (71 6%) had problems in completing their dissertations and 96% had concerns about mental health  Conclusion COVID-19 pandemic has severely disrupted the education and training of the Orthopaedic PG students, in Delhi-NCR region and perhaps elsewhere similarly too  The Government and Teaching organisations should take serious consideration of the plights of PGs and devise satisfactory mechanisms to overcome their problems and provide reasonable solutions also","Upadhyaya, Gaurav Kumar; Jain, Vijay Kumar; Iyengar, Karthikeyan P.; Patralekh, Mohit Kumar; AbhishekVaish","https://doi.org/10.1016/j.jcot.2020.07.018","","Database: COVIDWHO; Publication details: Journal of Clinical Orthopaedics and Trauma;2020.; Publication details: Journal of Clinical Orthopaedics and Trauma;2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-27","",3434,""
"A coming wave: suicide and gender after COVID-19","","Standish, Katerina","https://doi.org/10.1080/09589236.2020.1796608","","Database: COVIDWHO; Publication details: Journal of Gender Studies;2020.; Publication details: Journal of Gender Studies;2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-27","",3435,""
"Psychological aspects of COVID-19","Abstract Background COVID-19 pandemic has affected the world from every aspect  Individuals are drained from social, financial, and emotional percussion of this pandemic  Psychosocial consequences are far greater than are being perceived  It is anticipated that once the pandemic is over the psycho-emotional turbulence would shake the whole populations of affected countries  Aims and Objectives To review the psychological consequences of COVID-19 pandemic  Methods A literature search was conducted on major databases from January 2020 to April 2020 with the search terms of Covid-19, Corona virus, psychological, depression, anxiety, phobias, obsessive behaviors, paranoia, parental relationship, marital life and maternal and fetal bond  Conclusion Patients with COVID-19 infection are more likely to suffer from a myriad of psychological consequences, and this infection may have profound effect on parenting, relationships, marital life, elderly, and maternal-fetal bond","Stamu-Oâ€™Brien, Caroline; Carniciu, Simona; Halvorsen, Elizabeth; Jafferany, Mohammad","https://doi.org/10.1111/jocd.13601","","Database: COVIDWHO; Publication details: Journal of Cosmetic Dermatology;n/a(n/a), 2020.; Publication details: Journal of Cosmetic Dermatology;n/a(n/a), 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-27","",3436,""
"Trump, COVID-19, and the War on Expertise","In times of crisis, the American public looks to the president for leadership that will usher the country successfully to the other side of troubled times  There is a long history of presidential actions to lead the nation successfully through times of crisis  Abraham Lincoln?s leadership during the Civil War preserved the Union, just as Franklin Roosevelt?s leadership during both the Great Depression and World War II restored the nation toward a future of peace and prosperity defeating threats to both the economy and security at home and abroad  Currently, the public looks to President Donald Trump for leadership through the COVID-19 global pandemic, which is presenting a direct threat to the health and economic security of the nation  This article will examine the leadership of Donald Trump throughout the COVID-19 pandemic  Specifically, the focus will be on Donald Trump?s relationship with advisors and the extent to which he is using their shared expertise both for informing the public and in crafting policy responses to COVID-19","Rutledge, Paul E.","https://doi.org/10.1177/0275074020941683","","Database: COVIDWHO; Publication details: The American Review of Public Administration;2020.; Publication details: The American Review of Public Administration;2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-27","",3437,""
"Weight-related lifestyle behaviors and the COVID-19 crisis: An online survey study of UK adults during social lockdown","Summary Background The COVID-19 crisis is likely to have had wide ranging consequences on lifestyle behaviors and may have affected weight management  The objective of the present study was to examine perceptions of how weight-related lifestyle changed in social lockdown among UK adults compared to before emergence of the COVID-19 crisis  Methods As part of an online cross-sectional survey conducted during social lockdown in the UK, 723 UK adults reported on the extent to which their eating (healthiness of diet, frequency of bingeing on food), physical activity, sleep and alcohol consumption had changed since the emergence of the COVID-19 crisis and completed measures of current psychological well-being  Results Although both improvements and declines in weight gain protective behaviors were reported, 79% of participants reported a decline in one or more weight gain protective behavior  Both participants with a diagnosis of psychiatric illness and obesity (BMI = 30) were most likely to report declines in weight gain protective behaviors and show an overall profile of weight management behaviors worsening  Participants experiencing high levels of stress also reported reductions in more weight gain protective behaviors  Conclusions Lifestyle behaviors associated with weight gain are likely to have been affected by the COVID-19 crisis  Reductions to the perceived frequency by which people engage in behaviors usually associated with successful weight management appear to be common and people living with obesity and mental health problems may be at increased risk","Robinson, E.; Gillespie, S. M.; Jones, A.","https://doi.org/10.1002/osp4.442","","Database: COVIDWHO; Publication details: Obesity Science & Practice;n/a(n/a), 2020.; Publication details: Obesity Science & Practice;n/a(n/a), 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-27","",3438,""
"The impact of COVID-19 on patients of Italian mental health supported accommodation services","","Martinelli, Alessandra; Ruggeri, Mirella","https://doi.org/10.1007/s00127-020-01897-7","","Database: COVIDWHO; Publication details: Social Psychiatry and Psychiatric Epidemiology;1:3-3, 2020.; Publication details: Social Psychiatry and Psychiatric Epidemiology;1:3-3, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-27","",3439,""
"COVID-19 positive mothers are not more anxious or depressed than non COVID pregnant women during the pandemic: a pilot case-control comparison","","Kotabagi, P.; Nauta, M.; Fortune, L.; Yoong, W.","https://doi.org/10.1016/j.ejogrb.2020.07.037","","Database: COVIDWHO; Publication details: European Journal of Obstetrics & Gynecology and Reproductive Biology;2020.; Publication details: European Journal of Obstetrics & Gynecology and Reproductive Biology;2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","2020-07-27","",3440,""
