"title","abstract","authors","link","date","subject","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","exclusion_reason","extraction_date","expert_decision","ID","o1"
"Lessons learned: Conducting cases of manualized, telephone-based, cognitive behavioral treatment for depression in Parkinson's disease (dPD)","Replies to comments made by S  L  Mann et al  (see record 2020-74080-002) and L  E  Pincus (see record 2020-74080-003) on the original article (see record (see record 2020-74080-001)  My current clinical practice has been shifted to a telehealth format for the last three months due to the COVID-19 pandemic, and it seems an apt moment to reexamine my participation in Dr  Roseanne Dobkin's research on manualized telehealth therapy for depression in Parkinson's disease patients (dPD), using a protocol titled ""Teleheath Guided Self-Help for dPD,"" or ""TH-GSH-dPD,"" for short (Dobkin et al , 2020)  My participation involved, in part, being the therapist in four case studies I have written about with ""Alice,"" ""Carl,"" ""Ethan,"" and ""Gary"" (Durland, 2020)  In these case studies, a subset of those in Dr  Dobkin's group studies, I explored my clinical decision-making, seeking insight into how best to flexibly apply the dPD protocol to meet the needs of a heterogeneous clinical population  Here, my aim is to recontextualize and expand on the conclusions of my four case studies, based on my dissertation and conducted over three years ago (Durland, 2017), in light of both my recent experience providing mental health services and the Commentaries on the four case studies so perceptively contributed by Dr  Dobkin and her colleagues (Mann, Miller, St  Hill, & Dobkin, 2020) and by Liza Pincus (2020)  In particular, I will focus first on (a) continuing the analysis of clinical decision-making involved in the case studies described in my earlier article (Duland, 2020);and then on (b) general issues related to the delivery of telehealth treatment  (PsycInfo Database Record (c) 2020 APA, all rights reserved)","Durland, Logan","https://doi.org/10.14713/pcsp.v16i1.2071","","Database: COVIDWHO; Publication details: Pragmatic Case Studies in Psychotherapy;16(1):124-131, 2020.; Publication details: Pragmatic Case Studies in Psychotherapy;16(1):124-131, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-12","",7053,""
"Telemental health during a global pandemic: Clinical lessons from guided self-help, telephone therapy case studies","Comments on an article by Logan Durland (see record 2020-74080-001)  I am a fourth year clinical psychology doctoral student at the Graduate School of Applied and Professional Psychology (GSAPP) at Rutgers University  I have devoted much of my graduate training to exploring effective tools for the dissemination and implementation of mental health services, with telehealth chief among them  However, until the COVID-19 pandemic hit, I had had no personal experience delivering psychotherapy treatment via virtual platforms  Reviewing Dr  Logan Durland's (2020) lessons from treating Parkinson's disease patients via telephone therapy has served as an excellent guide for navigating treatment, both during the pandemic and in the future  (PsycInfo Database Record (c) 2020 APA, all rights reserved)","Pincus, Liza E.","https://doi.org/10.14713/pcsp.v16i1.2070","","Database: COVIDWHO; Publication details: Pragmatic Case Studies in Psychotherapy;16(1):118-123, 2020.; Publication details: Pragmatic Case Studies in Psychotherapy;16(1):118-123, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-12","",7054,""
"Study of risk factors and psychological impact in physicians diagnosed with COVID-19: An online, postexposure, cross-sectional survey","Background and Aims: Healthcare workers (HCW's) who have contracted the disease while working in the hospital may have a deep psychological impact in the form of depression and anxiety, along with the stress of passing the infection to their family members  This study attempts to highlight the risk factors and psychological impact on doctors who have tested positive for coronavirus disease-2019 (COVID-19)  Material and Methods: This online cross-sectional survey-based study enrolled all level doctors of all specialities of in Mumbai, India, who had tested positive for novel coronavirus  The survey questionnaire was a 26-item self-administered anonymous set of questions in English language only  This validated questionnaire was distributed by a link via Google forms for 1 week  Results: We received 51 completed responses  Most of them were (67%) postgraduate students  Forty-three (85%) respondents were working in a COVID-19 center  Twenty-three (45%) had a history of contact with these patients without proper personal protective equipment (PPE) with unknown COVID-19 status of the patient at the time of contact  Ten percent regretted their decision of becoming a doctor  Only half (51%) had family support during their illness and 45% relied on friends and colleagues in the hospital  Twenty-six percent mentioned having a low mood throughout the illness  A major portion of people (32%) having fear of severe illness and death  Conclusion: Medical doctors working in direct contact with confirmed cases of COVID-19 are at increased risk of contracting the infection and it has a major impact on physical and mental health of medical doctors  Â© 2020 Wolters Kluwer Medknow Publications  All rights reserved","Bajaj, J.; Solanki, S.","https://doi.org/10.4103/joacp.JOACP_417_20","","Database: COVIDWHO; Publication details: Journal of Anaesthesiology Clinical Pharmacology;36(3):345-349, 2020.; Publication details: Journal of Anaesthesiology Clinical Pharmacology;36(3):345-349, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-12","",7055,""
"Assessment of knowledge gaps and perceptions about COVID-19 among health care workers and general public-national cross-sectional study","Background: COVID-19 has impacted everyone's life and livelihood in one way or the other  Individual response to measures taken to control the rapid spread of this disease depend on their knowledge and perceptions  Hence, we proposed to evaluate responses about COVID-19 among the health care workers (HCWs) as well as general public participants (GPPs)  Material and Methods: This was a cross-sectional, observational survey conducted during the peak of the pandemic  The 35-items questionnaire was prepared using Google forms and distributed through e-mails and social media  Results: The 1,026 responses comprised of 558 HCWs (54 4%) and 468 GPPs (45 6%)  The most reliable source of information was TV news for 43% GPPs, whereas it was HCWs/Local health authorities for 36 8% HCWs  HCWs had sufficient knowledge regarding COVID-19, while it was relatively low among GPPs (average correct response 65% and 53%, respectively)  Intra-group analysis with respect to age, sex, qualification, and socioeconomic status showed that knowledge about mode of transmission by airborne aerosols was significantly low with respect to qualification among GPPs while younger age group (&lt;40 years) HCWs had significantly more knowledge about mode of transmission and asymptomatic carriers  Paranoia of contracting the infection was significantly higher in GPPs with upper and middle socioeconomic status and younger HCWs  Conclusion: HCWs had moderate level of knowledge, whereas GPPs had low to moderate knowledge, with large scope of improvement in both groups  Continued education, both at professional and community level will not only be helpful but also necessary to improve knowledge, avert negative attitudes and control the devastating pandemic  Â© 2020 Wolters Kluwer Medknow Publications  All rights reserved","Paul, G.; Sharma, S.; Singh, G.; Singh, G.; Sharma, S.; Paul, B.; Gautam, P.","https://doi.org/10.4103/joacp.JOACP_326_20","","Database: COVIDWHO; Publication details: Journal of Anaesthesiology Clinical Pharmacology;36(3):337-344, 2020.; Publication details: Journal of Anaesthesiology Clinical Pharmacology;36(3):337-344, 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-12","",7056,""
"Work team identification associated with less stress and burnout among front-line emergency department staff amid the COVID-19 pandemic","Background: The COVID-19 pandemic has exposed front-line healthcare workers to unprecedented risks and stressors threatening both physical and mental health  Prior work in the military has found that team identification, or the sense that one was a part of a team, can help reduce stress and prevent burnout during prolonged stress  Methods: We conducted repeated cross-sectional surveys embedded within emergency department workflow to understand whether team identification was associated with reduced reports of stress and burnout among front-line workers  Results: During the 10-week study which spanned the first wave of COVID-19, 327 of 431 (76%) front-line healthcare workers responded to at least one round of the survey  Higher team identification was associated with significantly less work stress (B=-0 60, 95% CI -0 84 to to -0 40, p&lt;0 001) and burnout (B=-12 87, 95% CI -17 73 to -8 02, p&lt;0 001) in cross-sectional analyses  Further evidence of the protective effect of team identification for work stress (B=-0 36, 95% CI -0 76 to 0 05, p=0 09) and burnout (B=-13 25, 95% CI -17 77 to -8 73, p&lt;0 001) was also found in prospective longitudinal evidence  Conclusion: This work suggests work team identification is a key buffering factor against feelings of stress and burnout  Efforts to promote team identification may offer a promising way for leaders to support front-line healthcare workers' well-being during the COVID-19 pandemic  These results can inform ongoing COVID-19 operational and quality improvement initiatives  Â© 2020 Author(s) (or their employer(s))  No commercial re-use  See rights and permissions  Published by BMJ","Sangal, R. B.; Wrzesniewski, A.; Dibenigno, J.; Reid, E.; Ulrich, A.; Liebhardt, B.; Bray, A.; Yang, E.; Eun, E.; Venkatesh, A. K.; King, M.","https://doi.org/10.1136/leader-2020-000331","","Database: COVIDWHO; Publication details: BMJ Leader;2020.; Publication details: BMJ Leader;2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-12","",7057,""
"Mental health during COVID-19 in Qatar","","Wadoo, O.; Latoo, J.; Reagu, S. M.; Amro, R. A. A.; Masoodi, N. A.; Alabdulla, M.","https://doi.org/10.1136/gpsych-2020-100313","","Database: COVIDWHO; Publication details: General Psychiatry;33(6), 2020.; Publication details: General Psychiatry;33(6), 2020.; Publication type: article","WHO","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-12","",7058,""
"Athletic Trainers' Job Tasks and Status During the Coronavirus Disease 2019 Pandemic: A Preliminary Analysis","In December 2019, severe acute respiratory syndrome coronavirus 2, also known as the novel coronavirus disease 2019 (COVID-19), became a global public health crisis. Government officials in the United States subsequently responded by issuing lockdown orders that closed schools, terminated sports, and resulted in many people transitioning to working from home, immediately affecting the ability of athletic trainers (ATs) to practice clinically. To describe the job status, job duties, telemedicine use, and resiliency of ATs during the COVID-19 pandemic. Cross-sectional study. Mixed-methods survey. A total of 611 ATs (age = 32 Ã‚Â± 13 years). The survey consisted of 6 demographic questions, a job status assessment (3 questions, 1 open-ended prompt), a telemedicine use assessment (5 questions, 2 open-ended prompts), and the 6-item Brief Resilience Scale. Qualitative analyses were completed using Text iQ technology and descriptive statistics, and cross-tabulations were conducted using follow-up Ãâ€¡2 comparisons of resiliency with job setting and telemedicine use. Most ATs continued to work in some capacity throughout the COVID-19 pandemic and expressed optimism about the likelihood that their job status and setting would return. However, participants shared financial and mental health concerns because of reduced pay, stress, and uncertainty about the future. We also identified versatility within the profession, as ATs were serving in new roles related to COVID-19 or adopting telemedicine (n = 251, 41.1%). Athletic trainers were implementing all domains of clinical practice using telemedicine, yet most did not consult legal counsel on or have formal training in the delivery method before implementation. Finally, most ATs exhibited normal resilience that was not affected by job setting (Ãâ€¡2 = 26.901, P = .68) or the use of virtual health care (Ãâ€¡2 = 2.597, P = .27). The COVID-19 pandemic has affected ATs' jobs, and in many cases, the ATs have demonstrated adaptability and value in assuming various roles in the larger health care system.","Winkelmann, Games","https://doi.org/10.4085/1062-6050-0275.20","20201111","COVID-19; employment; telemedicine","PubMed","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-12","",7059,""
"&quot;It's an emotional roller coasterÃ¢â‚¬Â¦ But sometimes it's fucking awesome&quot;: Meaning and motivation of work for peers in overdose response environments in British Columbia","The province of British Columbia (BC), Canada is amid dual public health emergencies in which the overdose epidemic declared in 2016 has been exacerbated by restrictions imposed by the Coronavirus Disease of 2019 (COVID-19) pandemic. Experiential workers, commonly known as 'peers' (workers with past or present drug use experience) are at the forefront of overdose response initiatives and are essential in creating safe spaces for people who use drugs (PWUD) in harm reduction. Working in overdose response environments can be stressful, with lasting emotional and mental health effects. There is limited knowledge about the personal meaning that experiential workers derive from their work, which serve as motivators for them to take on these often-stressful roles. This project used a community-based qualitative research design. The research was based at two organizations in BC. Eight experiential worker-led focus groups were conducted (nÃ‚Â =Ã‚Â 31) where participants spoke about their roles, positive aspects of their jobs, challenges they face, and support needs in harm reduction work. Transcripts were coded and analyzed using interpretative description to uncover the meaning derived from experiential work. Three themes emerged from focus group data that describe the meanings which serve as motivators for experiential workers to continue working in overdose response environments: (1) A sense of purpose from helping others; (2) Being an inspiration for others, and; (3) A sense of belonging. Despite the frequent hardships and loss that accompany overdose response work, experiential workers identified important aspects that give their work meaning. These aspects of their work may help to protect workers from the emotional harms associated with stressful work as well as the stigma of substance use. Recognizing the importance of experiential work and its role in the lives of PWUD can help inform and strengthen organizational supports.","Pauly, Mamdani, Mesley, McKenzie, Cameron, Edwards, Howell, Knott, Scott, Seguin, Greer, Buxton","https://doi.org/10.1016/j.drugpo.2020.103015","20201111","Experiential workers; Harm reduction; Meaning; Motivation; Overdose; Peers; Work","PubMed","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-12","",7060,""
"The COVID-19 Social Monitor longitudinal online panel: Real-time monitoring of social and public health consequences of the COVID-19 emergency in Switzerland","The COVID-19 pandemic challenges societies in unknown ways, and individuals experience a substantial change in their daily lives and activities. Our study aims to describe these changes using population-based self-reported data about social and health behavior in a random sample of the Swiss population during the COVID-19 pandemic. The aim of the present article is two-fold: First, we want to describe the study methodology. Second, we want to report participant characteristics and study findings of the first survey wave to provide some baseline results for our study. Our study design is a longitudinal online panel of a random sample of the Swiss population. We measure outcome indicators covering general well-being, physical and mental health, social support, healthcare use and working state over multiple survey waves. From 8,174 contacted individuals, 2,026 individuals participated in the first survey wave which corresponds to a response rate of 24.8%. Most survey participants reported a good to very good general life satisfaction (93.3%). 41.4% of the participants reported a worsened quality of life compared to before the COVID-19 emergency and 9.8% feelings of loneliness. The COVID-19 Social Monitor is a population-based online survey which informs the public, health authorities, and the scientific community about relevant aspects and potential changes in social and health behavior during the COVID-19 emergency and beyond. Future research will follow up on the described study population focusing on COVID-19 relevant topics such as subgroup differences in the impact of the pandemic on well-being and quality of life or different dynamics of perceived psychological distress.","Moser, Carlander, Wieser, HÃƒÂ¤mmig, Puhan, HÃƒÂ¶glinger","https://doi.org/10.1371/journal.pone.0242129","20201111","","PubMed","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-12","",7061,""
"Predictors of mental health during the Covid-19 pandemic in the US: Role of economic concerns, health worries and social distancing","Despite the profound health and economic implications of Covid-19, there is only limited knowledge to date about the role of economic concerns, health worries and social distancing for mental health outcomes during the pandemic. We analyze online survey data from the nationally representative &quot;Understanding America Study&quot; (UAS) covering the period of March 10-31st 2020 (sample size: 6,585). Mental health is assessed by the validated PHQ-4 instrument for measuring symptoms of depression and anxiety. About 29% (CI:27.4-.30.4%) of the US adult population reported some depression/anxiety symptoms over the study period, with symptoms deteriorating over the month of March. Worsening mental health was most strongly associated with concerns about the economic consequences of the pandemic, while concerns about the potential implications of the virus for respondents' own health and social distancing also predicted increases in symptoms of depression and anxiety during the early stages of the pandemic in the US, albeit less strongly. Our findings point towards the possibility of a major mental health crisis unfolding simultaneously with the pandemic, with economic concerns being a key driving force of this crisis. These results highlight the likely importance of economic countermeasures and social policy for mitigating the impact of Covid-19 on adult mental health in the US over and above an effective public health response.","KÃƒÂ¤mpfen, Kohler, Ciancio, Bruine de Bruin, Maurer, Kohler","https://doi.org/10.1371/journal.pone.0241895","20201111","","PubMed","Undecided","","","","","","","","","","","","","False","False","","","","","False","False","False","","2020-11-12","",7062,""
