"title","abstract","authors","link","date","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","extraction_date","expert_decision","o1","ID","q13","subject","exclusion_reason"
"Assurer les soins aux patients souffrant de troubles psychiques en France pendant l’épidémie à SARS-CoV-2","Résumé Objectif: L’absence de préparation du système de soins psychiatriques à l’épidémie de virus SARS-CoV-2 fait redouter fait redouter un scénario pessimiste pour la santé physique et mentale des patients suivis en psychiatrie. L’objectif de cet article est de proposer des éléments de guidance pour réorganiser les soins psychiatriques dans le contexte de pandémie COVID-19. Méthode: Les auteurs ont réalisé une synthèse de la littérature internationale combinée au partage des expériences locales françaises. Résultats: Les patients souffrant de troubles psychiques semblent particulièrement vulnérables à ce virus et à la pandémie : vulnérabilités liées aux comorbidités médicales, à l’âge, aux troubles cognitifs qui peuvent entraver le respect des consignes de confinement, et aux complications psychosociales. Plusieurs initiatives ont été prises pour assurer la continuité des soins et contenir l’épidémie : création en psychiatrie d’unité COVID+ co-supervisée par des médecins généralistes ou internistes, restriction des consultations aux cas sévères et redéploiement des soins en téléconsultation, accompagnement de type case-management pour les sorties précoces ou l’impossibilité d’hospitaliser, accompagnements spécifiques pour les complications psychiques du confinement. Les populations suivies en pédopsychiatrie, en psychiatrie du sujet âgé, en addictologie ou détenues en prison doivent bénéficier d’une attention particulière. Plusieurs questions restent en suspend : la question de l’interaction négative ou positive des traitements sur l’infection SARS-CoV-2, l’épidémiologie de l’infection chez les personnes souffrant de troubles psychiques, leur adaptation à un confinement long. Discussion: Une prise de conscience par les décideurs politiques de la grande vulnérabilité de ces populations et des institutions psychiatriques dans cette situation de catastrophe sanitaire est urgente. Objective: The lack of ressources and coordination to face the epidemic of coronavirus raises concerns for the health of patients with mental disorders in a country where we keep in memory the dramatic experience of famine in psychiatric hospitals during the Second World War. This article aims at proposing guidance to ensure mental health care during the SARS-CoV epidemy in France. Methods: authors performed a narrative review identifying relevant results in the scientific and medical literature and local initiatives in France. Results: We identified four types of major vulnerabilities in patients suffering from mental disorders during this pandemic: 1) medical comorbidities that are more frequently found in patients suffering from mental disorders (cardiovascular and pulmonary pathologies, diabetes, obesity, etc.) which represent risk factors for severe infections with covid-19; 2) age (the elderly constituting the population most vulnerable to coronavirus); 3) cognitive and behavioral troubles which can hamper compliance with confinement and hygiene measures and finally and 4) psychosocial vulnerability due to stigmatization and/or socio-economic difficulties. Furthermore, the mental health healthcare system is more vulnerable than other healthcare systems. Current government plans are poorly adapted to psychiatric establishments in a context of major shortage of organizational, material and human resources. In addition, a certain number of structural aspects make the psychiatric institution particularly vulnerable: many beds are closed, wards have a high density of patients, mental health community facilities are closed, medical teams are understaffed and poorly trained to face infectious diseases. We could also face major issues in referring patients with acute mental disorders to intensive care units. To maintain continuity of psychiatric care in this pandemic situation, several directions can be considered, in particular with the creation of COVID + units. These units are under the dual supervision of a psychiatrist and of an internist / in ectious disease specialist; all new entrants should be placed in quarantine for 14 days; the nurse staff should benefit from specific training, from daily medical check-ups and from close psychological support. Family visits would be prohibited and replaced by videoconference. At the end of hospitalization, in particular for the population of patients in compulsory ambulatory care situations, specific case-management should be organized with the possibility of home visits, in order to support them when they get back home and to help them to cope with the experience of confinement, which is at risk to induce recurrences of mental disorders. The total or partial closure of mental health community facilities is particularly disturbing for patients but a regular follow-up is possible with telemedicine and should include the monitoring of the suicide risk and psychoeducation strategies; developing support platforms could also be very helpful in this context. Private psychiatrists have also a crucial role of information with their patients on confinement and barrier measures, but also on measures to prevent the psychological risks inherent to confinement: maintenance of sleep regularity, physical exercise, social interactions, stress management and coping strategies, prevention of addictions, etc. They should also be trained to prevent, detect and treat early warning symptoms of post-traumatic stress disorder, because their prevalence was high in the regions of China most affected by the pandemic. Discussion: French mental healthcare is now in a great and urgent need for reorganization and must also prepare in the coming days and weeks to face an epidemic of emotional disorders due to the containment of the general population.","Chevance, A.; Gourion, D.; Hoertel, N.; Llorca, P. M.; Thomas, P.; Bocher, R.; Moro, M. R.; Laprévote, V.; Benyamina, A.; Fossati, P.; Masson, M.; Leaune, E.; Leboyer, M.; Gaillard, R.","https://doi.org/10.1016/j.encep.2020.03.001","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-05","","",23,"FALSE","",""
"Progression of Mental Health Services during the COVID-19 Outbreak in China","The novel coronavirus disease (COVID-19) has been rapidly transmitted in China, Macau, Hong Kong, and other Asian and European counterparts. This COVID-19 epidemic has aroused increasing attention nationwide. Patients, health professionals, and the general public are under insurmountable psychological pressure which may lead to various psychological problems, such as anxiety, fear, depression, and insomnia. Psychological crisis intervention plays a pivotal role in the overall deployment of the disease control. The National Health Commission of China has summoned a call for emergency psychological crisis intervention and thus, various mental health associations and organizations have established expert teams to compile guidelines and public health educational articles/videos for mental health professionals and the general public alongside with online mental health services. In addition, mental health professionals and expert groups are stationed in designated isolation hospitals to provide on-site services. Experts have reached a consensus on the admission of patients with severe mental illness during the COVID-19 outbreak in mental health institutions. Nevertheless, the rapid transmission of the COVID-19 has emerged to mount a serious challenge to the mental health service in China.","Li, Wen; Yang, Yuan; Liu, Zi-Han; Zhao, Yan-Jie; Zhang, Qinge; Zhang, Ling; Cheung, Teris; Xiang, Yu-Tao","https://doi.org/10.7150/ijbs.45120","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-05","Exclude","",20,"FALSE","",""
"The Fear of COVID-19 Scale: Development and Initial Validation","Background: The emergence of the COVID-19 and its consequences has led to fears, worries, and anxiety among individuals worldwide. The present study developed the Fear of COVID-19 Scale (FCV-19S) to complement the clinical efforts in preventing the spread and treating of COVID-19 cases. Methods: The sample comprised 717 Iranian participants. The items of the FCV-19S were constructed based on extensive review of existing scales on fears, expert evaluations, and participant interviews. Several psychometric tests were conducted to ascertain its reliability and validity properties. Results: After panel review and corrected item-total correlation testing, seven items with acceptable corrected item-total correlation (0.47 to 0.56) were retained and further confirmed by significant and strong factor loadings (0.66 to 0.74). Also, other properties evaluated using both classical test theory and Rasch model were satisfactory on the seven-item scale. More specifically, reliability values such as internal consistency (alpha = .82) and test-retest reliability (ICC = .72) were acceptable. Concurrent validity was supported by the Hospital Anxiety and Depression Scale (with depression, r = 0.425 and anxiety, r = 0.511) and the Perceived Vulnerability to Disease Scale (with perceived infectability, r = 0.483 and germ aversion, r = 0.459). Conclusion: The Fear of COVID-19 Scale, a seven-item scale, has robust psychometric properties. It is reliable and valid in assessing fear of COVID-19 among the general population and will also be useful in allaying COVID-19 fears among individuals.","Ahorsu, Daniel Kwasi; Lin, Chung-Ying; Imani, Vida; Saffari, Mohsen; Griffiths, Mark D.; Pakpour, Amir H.","https://doi.org/10.1007/s11469-020-00270-8","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-05","","",21,"FALSE","",""
"Managing mental health challenges faced by healthcare workers during covid-19 pandemic","Neil Greenberg and colleagues set out measures that healthcare managers need to put in place to protect the mental health of healthcare staff having to make morally challenging decisions The covid-19 pandemic is likely to put healthcare professionals across the world in an unprecedented situation, having to make impossible decisions and work under extreme pressures. These decisions may include how to allocate scant resources to equally needy patients, how to balance their own physical and mental healthcare needs with those of patients, how to align their desire and duty to patients with those to family and friends, and how to provide care for all severely unwell patients with constrained or inadequate resources. This may cause some to experience moral injury or mental health problems. Moral injury, a term that originated in the military, can be defined as the psychological distress that results from actions, or the lack of them, which violate someone’s moral or ethical code.1 Unlike formal mental health conditions such as depression or post-traumatic stress disorder, moral injury is not a mental illness. But those who develop moral injuries are likely to experience negative thoughts about themselves or others (for example, “I am a terrible person” or “My bosses don’t care about people’s lives”) as well as intense feelings of shame, guilt, or disgust. These symptoms can contribute to the development of mental health difficulties, including depression, post-traumatic stress disorder, and even suicidal ideation.2 Equally, some people who have to contend with significant challenges, moral or traumatic, experience a degree of post-traumatic growth,3 a term used to describe a bolstering of psychological resilience, esteem, outlook, and values after exposure to highly challenging situations. Whether someone develops a psychological injury or experiences psychological growth is likely to be influenced by the way that they are supported …","Greenberg, Neil; Docherty, Mary; Gnanapragasam, Sam; Wessely, Simon","https://doi.org/10.1136/bmj.m1211","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-05","Exclude","",28,"FALSE"," Case study/series; Clinical aspects, diagnosis, treatment",""
"Public Mental Health Crisis during COVID-19 Pandemic, China","The 2019 novel coronavirus disease emerged in China in late 2019-early 2020 and spread rapidly. China has been implementing emergency psychological crisis interventions to reduce the negative psychosocial impact on public mental health, but challenges exist. Public mental health interventions should be formally integrated into public health preparedness and emergency response plans.","Dong, L.; Bouey, J.","https://doi.org/10.3201/eid2607.200407","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-05","Exclude","",29,"FALSE","Awaiting classification",""
"Factors Associated With Mental Health Outcomes Among Health Care Workers Exposed to Coronavirus Disease 2019","<h3>Importance</h3><p>Health care workers exposed to coronavirus disease 2019 (COVID-19) could be psychologically stressed.</p><h3>Objective</h3><p>To assess the magnitude of mental health outcomes and associated factors among health care workers treating patients exposed to COVID-19 in China.</p><h3>Design, Settings, and Participants</h3><p>This cross-sectional, survey-based, region-stratified study collected demographic data and mental health measurements from 1257 health care workers in 34 hospitals from January 29, 2020, to February 3, 2020, in China. Health care workers in hospitals equipped with fever clinics or wards for patients with COVID-19 were eligible.</p><h3>Main Outcomes and Measures</h3><p>The degree of symptoms of depression, anxiety, insomnia, and distress was assessed by the Chinese versions of the 9-item Patient Health Questionnaire, the 7-item Generalized Anxiety Disorder scale, the 7-item Insomnia Severity Index, and the 22-item Impact of Event Scale–Revised, respectively. Multivariable logistic regression analysis was performed to identify factors associated with mental health outcomes.</p><h3>Results</h3><p>A total of 1257 of 1830 contacted individuals completed the survey, with a participation rate of 68.7%. A total of 813 (64.7%) were aged 26 to 40 years, and 964 (76.7%) were women. Of all participants, 764 (60.8%) were nurses, and 493 (39.2%) were physicians; 760 (60.5%) worked in hospitals in Wuhan, and 522 (41.5%) were frontline health care workers. A considerable proportion of participants reported symptoms of depression (634 [50.4%]), anxiety (560 [44.6%]), insomnia (427 [34.0%]), and distress (899 [71.5%]). Nurses, women, frontline health care workers, and those working in Wuhan, China, reported more severe degrees of all measurements of mental health symptoms than other health care workers (eg, median [IQR] Patient Health Questionnaire scores among physicians vs nurses: 4.0 [1.0-7.0] vs 5.0 [2.0-8.0];<i>P</i><U+2009>=<U+2009>.007; median [interquartile range {IQR}] Generalized Anxiety Disorder scale scores among men vs women: 2.0 [0-6.0] vs 4.0 [1.0-7.0];<i>P</i><U+2009>&lt;<U+2009>.001; median [IQR] Insomnia Severity Index scores among frontline vs second-line workers: 6.0 [2.0-11.0] vs 4.0 [1.0-8.0];<i>P</i><U+2009>&lt;<U+2009>.001; median [IQR] Impact of Event Scale–Revised scores among those in Wuhan vs those in Hubei outside Wuhan and those outside Hubei: 21.0 [8.5-34.5] vs 18.0 [6.0-28.0] in Hubei outside Wuhan and 15.0 [4.0-26.0] outside Hubei;<i>P</i><U+2009>&lt;<U+2009>.001). Multivariable logistic regression analysis showed participants from outside Hubei province were associated with lower risk of experiencing symptoms of distress compared with those in Wuhan (odds ratio [OR], 0.62; 95% CI, 0.43-0.88;<i>P</i><U+2009>=<U+2009>.008). Frontline health care workers engaged in direct diagnosis, treatment, and care of patients with COVID-19 were associated with a higher risk of symptoms of depression (OR, 1.52; 95% CI, 1.11-2.09;<i>P</i><U+2009>=<U+2009>.01), anxiety (OR, 1.57; 95% CI, 1.22-2.02;<i>P</i><U+2009>&lt;<U+2009>.001), insomnia (OR, 2.97; 95% CI, 1.92-4.60;<i>P</i><U+2009>&lt;<U+2009>.001), and distress (OR, 1.60; 95% CI, 1.25-2.04;<i>P</i><U+2009>&lt;<U+2009>.001).</p><h3>Conclusions and Relevance</h3><p>In this survey of heath care workers in hospitals equipped with fever clinics or wards for patients with COVID-19 in Wuhan and other regions in China, participants reported experiencing psychological burden, especially nurses, women, those in Wuhan, and frontline health care workers directly engaged in the diagnosis, treatment, and care for patients with COVID-19.</p>","Lai, Jianbo; Ma, Simeng; Wang, Ying; Cai, Zhongxiang; Hu, Jianbo; Wei, Ning; Wu, Jiang; Du, Hui; Chen, Tingting; Li, Ruiting; Tan, Huawei; Kang, Lijun; Yao, Lihua; Huang, Manli; Wang, Huafen; Wang, Gaohua; Liu, Zhongchun; Hu, Shaohua","https://doi.org/10.1001/jamanetworkopen.2020.3976","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-05","","",31,"FALSE"," Case study/series; Clinical aspects, diagnosis, treatment; Ethics, social science, economics",""
"Clinical and immunologic features in severe and moderate Coronavirus Disease 2019.","Since December 2019, an outbreak of Coronavirus Disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in Wuhan, and is now becoming a global threat. We aimed to delineate and compare the immunologic features of severe and moderate COVID-19. In this retrospective study, the clinical and immunologic characteristics of 21 patients (17 male and 4 female) with COVID-19 were analyzed. These patients were classified as severe (11 cases) and moderate (10 ","Chen, Wu, Guo, Cao, Huang, Wang, Wang, Zhang, Chen, Yu, Zhang, Zhang, Wu, Song, Chen, Han, Li, Luo, Zhao, Ning","https://doi.org/10.1172/JCI137244","20200328","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-05","","",47,"FALSE","Cytokines; Immunology; Infectious disease; Respiration; T cells",""
"Analysis of psychological state and clinical psychological intervention model of patients with COVID-19","Background:Patients with the 2019 coronavirus disease (COVID-19) have different degrees of psychological pain, such as anxiety and depression, which may related to their prognosis. Psychological intervention can be conducted in different ways to improve psychological pain and improve the treatment effect. Objective:The present study aimed to investigate and analyze the psychological status of patients with COVID-19 during the course of illness, and to evaluate the effect and influencing factors of psychological crisis intervention, so as to explore the effective mode of clinical psychological intervention in acute patients under isolation environment. Methods:A total of 143 persons participated in the study, including 26 patients diagnosed with COVID-19 in the isolation ward (COVID-19 group), 87 patients with general pneumonia in the observation ward (General Pneumonia group) and 30 healthy volunteers (Normal group). All the patients in the ward received comprehensive psychological intervention, including telephone psychological counseling (active and passive), self-adjustment of written materials and one-to-one psychological crisis intervention. Hamilton depression scale (HAMD) and Hamilton anxiety scale (HAMA) were used to evaluate the mental health status of all patients on the day of admission and 1 week after treatment. Results:The scores of HAMA and HAMD of all patients (including isolation ward and observation ward) were significantly higher than the healthy volunteers at the time of admission. The total score of HAMA and HAMD in CVOID-19 group were both higher than that General Pneumonia group. After 1 week`s hospitalization with comprehensive psychological intervention, the scores of HAMA and HAMD in CVOID-19 group were significantly decreased. Conclusion:Patients those who diagnosed with COVID-19 in the isolation ward and/or general pneumonia in observation ward have different degrees of anxiety, depression and sleep problems. While receiving antiviral treatment, patients also need psychological intervention. Comprehensive psychological intervention model has been proved to be effective.","Yang, L.; Wu, D.; Hou, Y.; Wang, X.; Dai, N.; Wang, G.; Yang, Q.; Zhao, W.; Lou, Z.; Ji, Y.; Ruan, L.","https://www.medrxiv.org/content/10.1101/2020.03.22.20040899v1?rss=1""","20200324","medRxiv","Exclude","","","","","","","","","","","","","FALSE","2020-04-05","Exclude","",3,"FALSE",NA,""
"Analysis of Epidemic Situation of New Coronavirus Infection at Home and Abroad Based on Rescaled Range (R/S) Method","1Summary 1.1 Background The outbreak of the new coronavirus infection broke out in Wuhan City, Hubei Province in December 2019, and has spread to 97 countries and regions around the world. Apart from China, there are currently three other severely affected areas, namely Italy, South Korea, and Iran. This poses a huge threat to China's and even global public health security, challenges scientific research work such as disease surveillance and tracking, clinical treatment, and vaccine development, and it also brings huge uncertainty to the global economy. As of March 11, 2020, the epidemic situation in China is nearing its end, but the epidemic situation abroad is in the outbreak period. Italy has even taken measures to close the city nationwide, with a total of 118,020 cases of infection worldwide. 1.2 Method This article selects the data of newly confirmed cases of COVID-19 at home and abroad as the data sample. Among them: the data of newly confirmed cases abroad is represented by Italy, and the span is from February 13 to March 10. The data of newly confirmed cases at home are divided into two parts: Hubei Province and other provinces except Hubei Province, spanning from January 23 to March 3, and with February 12 as the cutting point, it is divided into two periods, the growth period and the recession period. The rescaled range (R / S) analysis method and the dimensionless fractal Hurst exponent are used to measure the correlation of time series to determine whether the time series conforms to the fractal Brownian motion, that is, a biased random process. Contrast analysis of the meaning of H value in different stages and different overall H values in the same stage. 1.3 Results Based on R / S analysis and calculated Hurst value of newly confirmed cases in Hubei and non-Hubei provinces, it was found that the H value of Hubei Province in the first stage was 0.574, which is greater than 0.5, indicating that the future time series has a positive correlation and Fractal characteristics; The H value in the second stage is 1.368, which is greater than 1, which indicates that the future epidemic situation is completely preventable and controllable, and the second stage has a downward trend characteristic, which indicates that there is a high probability that the future time series will decline. The H values of the first and second stages of non-Hubei Province are 0.223 and 0.387, respectively, which are both less than 0.5, indicating that the time series of confirmed cases in the future is likely to return to historical points, and the H value in the second stage is greater than that in the first stage, indicating that the time series of confirmed cases in the second stage is more long-term memory than the time series of confirmed cases in the first stage. The daily absolute number of newly confirmed cases in Italy was converted to the daily growth rate of confirmed cases to eliminate the volatility of the data. The H value was 1.853, which was greater than 1, indicating that the time series of future confirmed cases is similar to the trend of historical changes. The daily rate of change in cases will continue to rise. 1.4 Conclusion According to the different interpretation of the H value obtained by the R / S analysis method, hierarchical isolation measures are adopted accordingly. When the H value is greater than 0.5, it indicates that the development of the epidemic situation in the area has more long-term memory, that is, when the number of confirmed cases in the past increases rapidly, the probability of the time series of confirmed cases in the future will continue the historical trend. Therefore, it is necessary to formulate strict anti-epidemic measures in accordance with the actual conditions of various countries, to detect, isolate, and treat early to reduce the base of infectious agents.","Ji, X.; Tang, Z.; Wang, K.; Li, X.; Li, H.","https://www.medrxiv.org/content/10.1101/2020.03.15.20036756v1?rss=1""","20200320","medRxiv","Exclude","","","","","","","","","","","","","FALSE","2020-04-05","","",4,"FALSE",NA,""
"Generalized anxiety disorder, depressive symptoms and sleep quality during COVID-19 epidemic in China: a web-based cross-sectional survey","Background: China has been severely affected by COVID-19 (Corona Virus Disease 2019) since December, 2019. This study aimed to assess the population mental health burden during the epidemic, and to explore the potential influence factors. Methods: Using a web-based cross-sectional survey, we collected data from 7,236 self-selected volunteers assessed with demographic information, COVID-19 related knowledge, Generalized Anxiety Disorder-7 (GAD-7), Center for Epidemiology Scale for Depression (CES-D), and Pittsburgh Sleep Quality Index (PSQI). Logistic regressions were used to identify influence factors associated with mental health problem. Results: Of the total sample analyzed, the overall prevalence of GAD, depressive symptoms, and sleep quality were 35.1%, 20.1%, and 18.2%, respectively. Young people reported a higher prevalence of GAD and depressive symptoms than older people (P<0.001). Compared with other occupational group, healthcare workers have the highest rate of poor sleep quality (P<0.001). Multivariate logistic regression showed that age (< 35 years) and times to focus on the COVID-19 ([&ge;] 3 hours per day) were associated with GAD, and healthcare workers were associated with poor sleep quality. Conclusions: Our study identified a major mental health burden of the public during COVID-19 epidemic in China. Young people, people who spent too much time on the epidemic, and healthcare workers were at high risk for mental illness. Continuous surveillance and monitoring of the psychological consequences for outbreaks should become routine as part of preparedness efforts worldwide.","Huang, Y.; Zhao, N.","https://www.medrxiv.org/content/10.1101/2020.02.19.20025395v1?rss=1""","20200223","medRxiv","Exclude","","","","","","","","","","","","","FALSE","2020-04-05","","",14,"FALSE",NA,""
