title,abstract,authors,link,date,source,initial_decision,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,extraction_date,expert_decision,o1,ID,q13,exclusion_reason,subject
Victim vs. survivor: the effect of labels and consensual sexual behaviour on observers' perceptions of sexual assault,"Labels guide our perceptions of ambiguous events (Eberdhardt, Dasgupta, & Banaszynski, 2003). They influence the way people interpret othersÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ behaviours, attribute blame, and offer support in situations of sexual violence (Campbell, 2008; Marks & An, 2019). The present study investigated the effect of labels and consensual sexual behaviour on observers' perceptions of hypothetical situations of sexual assault. Further, we examined their effect on the perceived amount of social support offered to affected women. The relationship between labels and consensual sexual behaviour with sexual attitudes was also examined. Participants were 137 undergraduates (52 men and 85 women) from an Indian private university. Results showed that labels and consensual sexual behaviour have some effect on the perceived severity of the assault, perceived responsibility of the women, and the amount of social support offered to them. The findings underscored the importance of labels and cautioned against their arbitrary use. Further implications are discussed.",Aanchal Setia et al.,https://share.osf.io/preprint/46131-0B2-F86,20200101,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2788,FALSE,,
Effects of natural environment on mental health: an umbrella review of systematic reviews and meta-analyses,"Objectives: To synthesize the evidence on the effects of exposure to natural environment on mental health to inform future policymaking, practice, and research. Methods: A systematic search of nine major databases and additional sources were conducted using relevant keywords for the natural environment and mental health till November 2019. We included systematic reviews or meta-analyses reporting any measures of associations between the natural environment and mental health. The data on study characteristics and research findings were extracted using the JBI data extraction tool and synthesized narratively. Results: Twenty reviews were included in this umbrella review reporting both correlational and experimental studies. Among diverse population groups, the exposure to the natural environment was associated with improvements in depressive symptoms, anxiety, mood disorders, stress, cognitive and emotional functions, affect, happiness, and overall mental wellbeing. Conclusions: The findings of this review inform beneficial mental health outcomes associated with exposure to the natural environment. This umbrella review suggests collaborative policymaking, advanced research, and evidence-based practice protecting the natural environment and improving mental health across populations.",Mahbub Hossain et al.,https://share.osf.io/preprint/4609E-A59-E15,20200108,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2789,FALSE,,
Should corrections of the literature influence grant review?,"The effect of retractions on the career of scientists is an emerging issue and can be assessed, for example, through citation patterns for articles by authors with retractions. Other possible influences are not well known, but they are worth investigating in a time of changing perceptions of impact and of which factors should influence the reward systems of science. Although academia has cultivated a ""culture of impact"" in science, rigor and the reliability of the research record seem to be gradually taking a stronger role in today's scientific zeitgeist, as suggested in a recent Nature commentary (Casadevall, 2019). However, the extent to which this shifting panorama may influence, for example, grant review criteria is an open question. As part of an ongoing project, we present results of a qualitative pilot study with a group of funders/review panel members who shared their views on the possible role of retractions and of self-correcting the literature in funding decisions. Their comments reflect the difficulty of dealing with retractions in the review of applications for funding. However, they also lend credence to the idea that a broader look at the impact of correction of the literature on research assessment is warranted in this time of changing notions of rewards in science.",Mariana Dias Ribeiro et al.,https://share.osf.io/preprint/46180-87D-995,20200110,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2790,FALSE,,
Prevalence of mental disorders in South Asia: an umbrella review of systematic reviews and meta-analyses,"Objectives: Mental disorders are highly prevalent in eight South Asian countries, yet there is a gap of a synthesized overview of the prevalence of mental disorders in this region. This umbrella review aims to summarize the prevalence of mental disorders from systematic reviews and meta-analyses of South Asian studies. Materials and methods: A systematic search of 11 major databases and additional sources was conducted until December 11, 2019. Articles were included if they were systematic reviews or meta-analyses, reported the prevalence of mental disorders, and reported primary studies conducted in South Asian countries only. Results: Among 2591 citations, a total of 23 reviews met all the criteria of this umbrella review. The synthesized findings from those reviews suggest high prevalence rates for mental disorders, including depressive disorders, anxiety disorders, mood disorders, suicidal behavior and self-harm, schizophrenia, substance use disorders, neurodevelopmental disorders, dementia, and other mental health problems. Also, findings suggest a high burden of maternal depression, psychiatric comorbidities in chronic physical illnesses, and various mental disorders among children, elderly adults, refugees, and other vulnerable populations. Most studies were from India whereas evidence from Afghanistan, Bhutan, and Maldives was limited. Conclusion: The findings of this review are constrained with heterogeneity in prevalence estimations, methodologies, sampling issues, and limitations in the existing literature, which should be addressed in future research. The evidence synthesized in this review provides national and regional overview of the prevalence of mental disorders, which may inform better policymaking and practice advancing mental health in South Asia.",Mahbub Hossain et al.,https://share.osf.io/preprint/46171-FC9-13D,20200111,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2791,FALSE,,
Developmental relations between ADHD symptoms and bullying perpetration and victimisation in adolescence,"It has previously been hypothesised that individuals with elevated ADHD symptoms are at greater risk of bullying perpetration and victimization; however, a lack of high-quality longitudinal data has meant that this hypothesis is yet to be adequately tested. Using autoregressive latent trajectory models with structured residuals (ALT-SR) and four waves (ages 11, 13, 15 and 17) of longitudinal data from the BLINDED STUDY NAME (n=1526, 52% male), we evaluated the developmental relations between ADHD and bullying using both self- and teacher-reported ADHD symptom data. Analyses suggested that ADHD symptoms primarily increase the risk of bullying perpetration, with a within-person effect of ADHD symptoms on bullying perpetration symptoms identified across ages 13 to 15 (ÃƒÅ½Ã‚Â²=.13) and ages 15 to 17 (ÃƒÅ½Ã‚Â²=.19) based on self-reported ADHD symptoms; and a similar effect identified across ages 11 to 13 (ÃƒÅ½Ã‚Â²=.24) and 13 to 15 (ÃƒÅ½Ã‚Â²=.29) based on teacher-reported inattention symptoms. There were also some indications of reciprocal effects and effects involving victimization that merit further exploration in future research. Results imply that the content of bullying intervention and prevention programs should take account of ADHD symptoms in order to ensure that those with elevated ADHD symptoms can benefit from these interventions as much as their typically developing peers. This will involve addressing bullying perpetration that may reflect impulsive/reactive aggression and impaired social skills rather than instrumental aggression. Further, programs should go beyond classical curriculum/classroom-based delivery to ensure that individuals with elevated ADHD symptoms can be successfully engaged.",Aja Louise Murray et al.,https://share.osf.io/preprint/46202-913-BC9,20200119,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2792,FALSE,,
More Efficient Shielding for Internal than External Attention? Evidence from Asymmetrical Switch Costs,"At present, the process of switching attention between external stimuli and internal representations is not well understood. To address this, Verschooren and colleagues (2019) recently designed a novel paradigm where participants were cued to switch attention between external and internal information on a trial-by-trial basis. The authors observed an asymmetrical switch cost, which was larger when switching towards internal than external material, even though participants performed internal trials faster. In the current study, we sought to establish the cause of this asymmetry by adjudicating between predictions from three theoretical accounts: associative interference, priming, and memory retrieval. After replicating the original asymmetry (Experiment 1), we demonstrate that trial-by-trial carryover of attentional settings is not a necessary precondition (Experiment 2). The results from Experiment 3 indicate that the cost asymmetry can be best explained by an associative interference account, against a memory retrieval one. Together, these results therefor provide evidence in favor of an associative interference account and document that shielding attention for internal representations from external intrusions is more efficient than the other way around. This finding advances our understanding of a core aspect of cognitive flexibility and the relationship between external and internal attention. More research on this question and novel ones raised by it is necessary, however.",Sam Verschooren et al.,https://share.osf.io/preprint/46227-138-D45,20200123,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2793,FALSE,,
Standalone Apps for Anxiety and Depression Show Promising Early Efficacy: A Synthesis of Meta-Analytic Results,"Given the high incidence of anxiety and depressive disorders and the very few persons who receive treatment for these disorders (Wilhelm et al., 2019), researchers have become increasingly interested in standalone treatments for anxiety and depression. As the ubiquity of smartphones has grown across the globe, both academia and industry alike are increasingly developing and testing standalone interventions which might treat anxiety and depressive symptoms. In a recent meta-analysis, Weisel et al. (2019) summarized and concluded that apps contribute to significant reductions in depressive symptoms (HedgesÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ g = 0.33) but no significant reductions in anxiety symptoms. The paper concludes that ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œsmartphone apps as standalone psychological interventions cannot be recommended based on the current level of evidenceÃƒÂ¢Ã¢â€šÂ¬Ã‚Â. The current comment further evaluates the evidence base for making these summary claims.",Nicholas C. Jacobson et al.,https://share.osf.io/preprint/4612B-241-C5F,20200131,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2794,FALSE,,
How do recall requirements affect decision-making in free recall initiation? A linear ballistic accumulator approach,"Models of free recall describe free recall initiation as a decision-making process in which items compete to be retrieved. Recently, Osth and Farrell (2019) applied evidence accumulation models to complete RT distributions and serial positions of participantsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ first recalls in free recall which resulted in some novel conclusions about primacy and recency effects. Specifically, the results of the modeling favored an account in which primacy was due to reinstatement of the start-of-the-list and recency was found to be exponential in shape. In this work, we examine what happens when participants are given alternative recall instructions. Prior work has demonstrated weaker primacy and greater recency when fewer items are required to report (Ward & Tan, 2019), and a key question is whether this change in instructions affects which items are in competition for recall, or the parameters of the recall competition. We conducted an experiment where participants studied 12 item lists and were post-cued as to whether to retrieve a single item, or as many items as possible. Subsequently, we applied LBA models with various assumptions about primacy and recency, implemented using hierarchical Bayesian techniques. While greater recency was observed when only one item was required for output, the model selection did not suggest there were qualitative differences between the two conditions. Specifically, start-of-list reinstatement and exponential recency functions were favored in both conditions.",Adam F Osth et al.,https://share.osf.io/preprint/460E9-FE1-239,20200203,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2795,FALSE,,
Informal caregiving and quality of life among older adults: Prospective analyses from the Swedish Longitudinal Occupational Survey of Health (SLOSH),"Providing unpaid informal care to someone who is ill or disabled is a common experience in later life. While a supportive and potentially rewarding role, informal care can become a time and emotionally demanding activity, which may hinder older adultsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ quality of life. In a context of rising demand for informal carers, we investigated how caregiving states and transitions are linked to overall levels and changes in quality of life, and how the relationship varies according to care intensity and burden. We used fixed effects and change analyses to examine six-wave panel data (2008ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“2018) from the Swedish Longitudinal Occupational Survey of Health (SLOSH, n=5076; ages 50ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“74). The CASP-19 scale is used to assess both positive and negative aspects of older adultsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ quality of life. Caregiving was related with lower levels of quality of life in a graded manner, with those providing more weekly hours and reporting greater burden experiencing larger declines. Two-year transitions corresponding to starting, ceasing and continuing care provision were associated with lower levels of quality of life, compared to continuously not caregiving. Starting and ceasing caregiving were associated with negative and positive changes in quality of life score, respectively, suggesting that cessation of care leads to improvements despite persistent lower overall levels of quality of life. Measures to reduce care burden or time spent providing informal care are likely to improve the quality of life of older people.",Lawrence B Sacco et al.,https://share.osf.io/preprint/460DD-D42-290,20200203,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2796,FALSE,,
A Systematic Review Exploring the Impact of Social Media on Breastfeeding Practices,"Social media has potential to promote and support positive health behaviours. This systematic review explores the influence of social media on breastfeeding decision-making, promotion and support. For the purpose of the review, social media was defined as social networking sites and blogs; M-technology and apps were only considered if they included an interactive element, such as a ÃƒÂ¢Ã¢â€šÂ¬Ã‹Å“shareÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ function, or one-to-many communication. Searches were conducted across seven databases (limited to 2007-2019). An initial search identified 1,123 papers, of which 16 met the inclusion criteria. A second search conducted prior to publication identified an additional six relevant papers, increasing the total to 22 included papers. Results are mixed, but there is evidence that social media can be used to improve breastfeeding awareness and attitudes. Breastfeeding mothers value pro-breastfeeding online communities. However, the success of such social media groups may be dependent on specific content shared, individual contributors, and group dynamics. Key considerations for practitioners are offered regarding how social media can augment services offered to support breastfeeding. Research in this field is still very much in its infancy. Further investigation of specific social media content is needed, alongside the viewpoints of those who have ceased breastfeeding against their wishes.",Lisa Orchard et al.,https://share.osf.io/preprint/46157-6DF-802,20200203,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2797,FALSE,,
